corp_code,corp_name,rcept_no,dart_link,basis,unit_source,fy,period,bs_n,is_n,cf_n,flag
00113243,대한제분,20020214000109,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20020214000109,separate,pdf,2002,H1,9,2,40,LOW
00113243,대한제분,20020515000571,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20020515000571,separate,pdf,2002,Q3,9,2,40,LOW
00113243,대한제분,20020927000130,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20020927000130,separate,pdf,2002,FY,5,2,39,LOW
00113261,대한광통신,20000331000280,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20000331000280,separate,pdf,1999,FY,9,6,18,LOW
00113261,대한광통신,20000515000917,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20000515000917,separate,pdf,2000,Q1,9,9,13,LOW
00113261,대한광통신,20040617000127,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20040617000127,separate,squished_total,2004,Q1,1,,,LOW
00113261,대한광통신,20040813001284,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20040813001284,separate,squished_total,2004,H1,1,,,LOW
00113261,대한광통신,20041113000079,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20041113000079,separate,squished_total,2004,Q3,1,,,LOW
00113359,교보증권,20000624000183,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20000624000183,separate,pdf,2000,FY,35,13,10,LOW+HIGH
00113359,교보증권,20000812000243,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20000812000243,separate,pdf,2001,Q1,35,14,8,LOW+HIGH
00113359,교보증권,20010214000144,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20010214000144,separate,pdf,2001,Q3,37,15,12,LOW+HIGH
00113492,깨끗한나라,20000812000054,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20000812000054,separate,pdf,2000,H1,68,3,58,LOW+HIGH
00113526,대한항공,20010330001403,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20010330001403,separate,pdf,2000,FY,3,5,56,LOW
00113997,롯데에너지머티리얼즈,20020515001139,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20020515001139,separate,pdf,2002,Q1,11,5,38,LOW
00113997,롯데에너지머티리얼즈,20040802000167,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20040802000167,consolidated,squished_total,2004,Q1,1,,,LOW
00113997,롯데에너지머티리얼즈,20040802000167,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20040802000167,separate,squished_total,2004,Q1,1,,,LOW
00113997,롯데에너지머티리얼즈,20040813000710,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20040813000710,consolidated,squished_total,2004,H1,1,,,LOW
00113997,롯데에너지머티리얼즈,20040813000710,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20040813000710,separate,squished_total,2004,H1,1,,,LOW
00115287,동방,20000328000153,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20000328000153,separate,pdf,1999,FY,12,10,11,LOW
00115287,동방,20000512000159,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20000512000159,separate,pdf,2000,Q1,13,11,11,LOW
00115287,동방,20000515000768,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20000515000768,separate,pdf,2000,Q1,13,11,15,LOW
00115287,동방,20010813000434,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20010813000434,separate,pdf,2001,H1,10,10,15,LOW
00115287,동방,20011114000499,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20011114000499,separate,pdf,2001,Q3,9,10,16,LOW
00115384,동방아그로,20000329000366,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20000329000366,separate,pdf,1999,FY,10,3,51,LOW
00115384,동방아그로,20010330000509,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20010330000509,separate,pdf,2000,FY,10,4,46,LOW
00115384,동방아그로,20010514000195,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20010514000195,separate,pdf,2001,Q1,7,5,45,LOW
00115384,동방아그로,20010814000135,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20010814000135,separate,pdf,2001,H1,8,4,43,LOW
00115384,동방아그로,20020329000400,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20020329000400,separate,pdf,2001,FY,10,3,15,LOW
00115384,동방아그로,20020514000313,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20020514000313,separate,pdf,2002,Q1,6,4,15,LOW
00115384,동방아그로,20020813000193,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20020813000193,separate,pdf,2002,H1,8,3,13,LOW
00115384,동방아그로,20021114000123,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20021114000123,separate,pdf,2002,Q3,5,4,15,LOW
00115384,동방아그로,20040514000175,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20040514000175,separate,squished_total,2004,Q1,1,,,LOW
00115384,동방아그로,20040813001000,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20040813001000,separate,squished_total,2004,H1,1,,,LOW
00115384,동방아그로,20041115000951,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20041115000951,separate,squished_total,2004,Q3,1,,,LOW
00115384,동방아그로,20201116001284,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20201116001284,consolidated,declared,2020,Q3,19,14,46,LOW
00115384,동방아그로,20201116001284,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20201116001284,separate,declared,2020,Q3,19,12,45,LOW
00115931,디오,20011114000327,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20011114000327,separate,pdf,2001,Q3,16,10,10,LOW
00115931,디오,20040625000043,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20040625000043,separate,squished_total,2004,Q1,1,,,LOW
00115931,디오,20050331000249,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20050331000249,separate,squished_total,2004,FY,1,,,LOW
00115931,디오,20050516000184,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20050516000184,separate,squished_total,2005,Q1,1,,,LOW
00115931,디오,20060331000514,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20060331000514,separate,squished_total,2005,FY,1,,,LOW
00115931,디오,20060512000406,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20060512000406,separate,squished_total,2006,Q1,1,,,LOW
00115931,디오,20070330000438,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20070330000438,separate,squished_total,2006,FY,1,,,LOW
00116268,동성제약,20000330000240,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20000330000240,separate,pdf,1999,FY,10,11,7,LOW
00116268,동성제약,20000513000321,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20000513000321,separate,pdf,2000,Q1,10,12,6,LOW
00116268,동성제약,20000814000858,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20000814000858,separate,pdf,2000,H1,10,12,2,LOW
00116949,DN오토모티브,20020330000849,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20020330000849,separate,squished_total,2001,FY,1,,,LOW
00116949,DN오토모티브,20020515000116,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20020515000116,separate,squished_total,2002,Q1,1,,,LOW
00116949,DN오토모티브,20020814000601,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20020814000601,separate,squished_total,2002,H1,1,,,LOW
00116949,DN오토모티브,20030814000917,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20030814000917,separate,squished_total,2003,H1,1,,,LOW
00116949,DN오토모티브,20030930000178,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20030930000178,separate,squished_total,2003,H1,1,,,LOW
00116949,DN오토모티브,20031114001282,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20031114001282,separate,squished_total,2003,Q3,1,,,LOW
00116949,DN오토모티브,20031127000050,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20031127000050,separate,squished_total,2003,Q3,1,,,LOW
00116949,DN오토모티브,20040330000891,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20040330000891,separate,squished_total,2003,FY,1,,,LOW
00116949,DN오토모티브,20040506000344,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20040506000344,separate,squished_total,2003,FY,1,,,LOW
00116949,DN오토모티브,20040514002839,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20040514002839,separate,squished_total,2004,Q1,1,,,LOW
00116949,DN오토모티브,20040525000066,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20040525000066,separate,squished_total,2003,FY,1,,,LOW
00116949,DN오토모티브,20040525000067,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20040525000067,separate,squished_total,2004,Q1,1,,,LOW
00116949,DN오토모티브,20040617000103,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20040617000103,separate,squished_total,2004,Q1,1,,,LOW
00116949,DN오토모티브,20040813001283,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20040813001283,separate,squished_total,2004,H1,1,,,LOW
00116949,DN오토모티브,20041115000850,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20041115000850,separate,squished_total,2004,Q3,1,,,LOW
00116949,DN오토모티브,20050331000795,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20050331000795,separate,squished_total,2004,FY,1,,,LOW
00116949,DN오토모티브,20050429001102,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20050429001102,separate,squished_total,2004,FY,1,,,LOW
00116949,DN오토모티브,20050816000918,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20050816000918,separate,squished_total,2005,H1,1,,,LOW
00116949,DN오토모티브,20051114000535,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20051114000535,separate,squished_total,2005,Q3,1,,,LOW
00116949,DN오토모티브,20060331001354,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20060331001354,separate,squished_total,2005,FY,1,,,LOW
00116949,DN오토모티브,20060509000785,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20060509000785,separate,squished_total,2005,FY,1,,,LOW
00116949,DN오토모티브,20060515003034,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20060515003034,separate,squished_total,2006,Q1,1,,,LOW
00117212,두산,20020401000585,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20020401000585,separate,squished_total,2001,FY,1,,,LOW
00117212,두산,20020515000328,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20020515000328,consolidated,squished_total,2002,Q1,1,,,LOW
00117300,TCC스틸,20000515000357,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20000515000357,consolidated,pdf,2000,Q1,4,5,,LOW
00117300,TCC스틸,20000814000430,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20000814000430,consolidated,pdf,2000,H1,4,5,,LOW
00117498,스틱인베스트먼트,20000330000061,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20000330000061,separate,pdf,1999,FY,10,1,40,LOW
00117498,스틱인베스트먼트,20000515000359,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20000515000359,consolidated,pdf,2000,Q1,10,2,,LOW
00117498,스틱인베스트먼트,20000515000359,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20000515000359,separate,pdf,2000,Q1,10,1,39,LOW
00117498,스틱인베스트먼트,20000814000696,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20000814000696,consolidated,pdf,2000,H1,10,2,,LOW
00117498,스틱인베스트먼트,20000814000696,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20000814000696,separate,pdf,2000,H1,9,1,36,LOW
00117498,스틱인베스트먼트,20010330000503,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20010330000503,separate,pdf,2000,FY,10,1,40,LOW
00117498,스틱인베스트먼트,20010515000328,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20010515000328,consolidated,pdf,2001,Q1,10,5,,LOW
