corp_code,statement_type,prev_year,next_year,revenue,operating_income,prev_deriv,next_deriv
00122579,consolidated,2012,2013,40592937011,4791120741,native,native
00122579,separate,2003,2004,33485190000,425064000,native,native
00122579,separate,2007,2008,34005659101,3147954846,native,native
00122694,consolidated,2012,2013,6726901479,-1440040764,native,native
00122694,consolidated,2015,2016,14612688532,308793180,native,native
00122694,separate,2003,2004,31243168076,927825071,native,native
00122737,separate,2007,2008,1853006193355,275395261114,native,native
00122825,consolidated,2013,2014,2464994682,-2353296500,native,native
00122825,separate,2003,2004,3645349398,,native,native
00122898,consolidated,2012,2013,87113593220,3171313727,native,native
00123143,consolidated,2016,2017,99850685984,4864144347,native,native
00123143,separate,2006,2007,48178213866,2283118202,native,native
00123523,consolidated,2014,2015,59094217859,8216703197,native,native
00123523,separate,2014,2015,17457188697,3990062423,native,native
00123541,consolidated,2012,2013,28846184057,4181187842,native,native
00123541,separate,2005,2006,27467595192,3206053648,native,native
00123718,consolidated,2014,2015,33064600791,6837309752,native,native
00124027,consolidated,2012,2013,17689379944,-91151475,native,native
00124027,separate,2007,2008,4060528615,-367244478,native,native
00124090,separate,2006,2007,64176832860,3768892810,native,native
00124151,separate,2006,2007,29123165030,2629771125,native,native
00124197,consolidated,2012,2013,564048178503,55884691781,native,native
00124276,consolidated,2022,2023,23653679205,-482643500,native,native
00124276,separate,2010,2011,16216761497,870249629,native,native
00124540,consolidated,2007,2008,5807228759356,643667326363,native,native
00124540,separate,2007,2008,1302671375660,59679000266,native,native
00124726,consolidated,2012,2013,161961008885,3293929939,native,native
00124780,consolidated,2012,2013,65945267687,2040808190,native,native
00124780,consolidated,2023,2024,42312744909,3027795284,native,native
00124780,separate,2012,2013,65945267687,2040808190,native,native
00124799,separate,2003,2004,39637781881,2865887430,native,native
00125080,consolidated,2012,2013,383143558278,39411157429,native,native
00125150,consolidated,2012,2013,62746075264,3157859667,native,native
00125150,separate,2007,2008,46421077085,1658085893,native,native
00125488,consolidated,2012,2013,21505482390,1783832258,native,native
00125521,consolidated,2012,2013,284727168932,21375195974,native,native
00125530,consolidated,2012,2013,246878342924,5419001971,native,native
00125530,separate,2004,2005,30419893000,1331291000,native,native
00125646,consolidated,2021,2022,79366581128,17105935205,native,native
00125646,separate,2007,2008,16706740575,-263053006,native,native
00125725,consolidated,2012,2013,27136642036,2318131536,native,native
00125743,consolidated,2012,2013,191834910609,16191448619,native,native
00125743,consolidated,2015,2016,155287386912,4116560925,native,native
00125743,separate,2003,2004,180861524483,23304018987,native,native
00125938,consolidated,2012,2013,69592357817,5430186470,native,native
00125974,consolidated,2012,2013,109677872319,-16850781061,native,native
00125974,separate,2005,2006,101114152071,6983040514,native,native
00125974,separate,2007,2008,143472807228,7534389070,native,native
00126089,consolidated,2012,2013,94265520361,-1895279698,native,native
00126186,separate,2003,2004,370265580000,10499288000,native,native
00126186,separate,2005,2006,458471958000,59242353000,native,native
00126201,consolidated,2012,2013,33653691529,1776916822,native,native
00126201,separate,2003,2004,29006268849,3401303806,native,native
00126308,consolidated,2010,2011,1820547183693,161851353593,native,native
00126308,separate,2007,2008,480092330128,22201670019,native,native
00126362,separate,2005,2006,1273809324028,4374673849,native,native
00126371,separate,2007,2008,664831247265,9739469060,native,native
00126414,consolidated,2015,2016,12362644977,-389419462,native,native
00126478,consolidated,2010,2011,3515835009743,392542606461,native,native
00126487,consolidated,2004,2005,-202816848774,11651870065,native,native
00126487,consolidated,2005,2006,-202816848774,11651870065,native,native
00126487,consolidated,2012,2013,43841172145,447577954,native,native
00126566,separate,2003,2004,414177147020,23293419654,native,native
00126566,separate,2005,2006,597361090532,46291465993,native,native
00126566,separate,2010,2011,612415577831,29232369849,native,native
00126779,consolidated,2010,2011,37687598636,1214325891,native,native
00126779,consolidated,2018,2019,48694222794,1874936486,native,native
00126779,separate,2003,2004,33056515942,1151900761,native,native
00126788,consolidated,2019,2020,15328962571,2038570179,native,native
00126788,separate,2007,2008,11108227786,1938054248,native,native
00126937,consolidated,2010,2011,591467000000,28559000000,native,native
00126955,consolidated,2012,2013,71660994700,3048080340,native,native
