company,corp_code,combo,period,metric,ui_csv_value,db_value,diff_pct,timestamp
코스메카코리아,00763473,분기x별도,2023 CQ2,revenue,115651142905.0,66695451338,73.402%,2026-07-07T20:37:05
코스메카코리아,00763473,분기x별도,2023 CQ3,revenue,116399125357.0,66371689764,75.375%,2026-07-07T20:37:05
코스메카코리아,00763473,분기x별도,2023 CQ4,revenue,122736520197.0,69681890220,76.138%,2026-07-07T20:37:05
코스메카코리아,00763473,분기x별도,2024 CQ1,revenue,125588030441.0,68751852502,82.669%,2026-07-07T20:37:05
코스메카코리아,00763473,분기x별도,2024 CQ2,revenue,143769968969.0,94626116932,51.935%,2026-07-07T20:37:05
코스메카코리아,00763473,분기x별도,2024 CQ3,revenue,126627253579.0,82501049795,53.486%,2026-07-07T20:37:05
코스메카코리아,00763473,분기x별도,2024 CQ4,revenue,128343391695.0,82784623507,55.033%,2026-07-07T20:37:05
코스메카코리아,00763473,분기x별도,2025 CQ1,revenue,118366010963.0,74337846554,59.227%,2026-07-07T20:37:05
코스메카코리아,00763473,분기x별도,2025 CQ2,revenue,161733978593.0,109996389120,47.036%,2026-07-07T20:37:05
코스메카코리아,00763473,분기x별도,2025 CQ3,revenue,182371114252.0,129839189153,40.459%,2026-07-07T20:37:05
코스메카코리아,00763473,분기x별도,2025 CQ4,revenue,178457968968.0,127325325323,40.159%,2026-07-07T20:37:05
코스메카코리아,00763473,분기x별도,2026 CQ1,revenue,185142797724.0,142229050339,30.172%,2026-07-07T20:37:05
코스메카코리아,00763473,분기x별도,2023 CQ2,operating_income,11164348373.0,6333170378,76.284%,2026-07-07T20:37:05
코스메카코리아,00763473,분기x별도,2023 CQ3,operating_income,13700630563.0,4737739916,189.181%,2026-07-07T20:37:05
코스메카코리아,00763473,분기x별도,2023 CQ4,operating_income,15035040393.0,7253484367,107.280%,2026-07-07T20:37:05
코스메카코리아,00763473,분기x별도,2024 CQ1,operating_income,13730406370.0,7426029413,84.896%,2026-07-07T20:37:05
코스메카코리아,00763473,분기x별도,2024 CQ2,operating_income,18093595214.0,14336722053,26.205%,2026-07-07T20:37:05
코스메카코리아,00763473,분기x별도,2024 CQ3,operating_income,15207289524.0,12001050433,26.716%,2026-07-07T20:37:05
코스메카코리아,00763473,분기x별도,2024 CQ4,operating_income,13331175358.0,10703152151,24.554%,2026-07-07T20:37:05
코스메카코리아,00763473,분기x별도,2025 CQ1,operating_income,12290023963.0,8046194476,52.743%,2026-07-07T20:37:05
코스메카코리아,00763473,분기x별도,2025 CQ2,operating_income,23016587256.0,13839662232,66.309%,2026-07-07T20:37:05
코스메카코리아,00763473,분기x별도,2025 CQ3,operating_income,27193065325.0,14502552567,87.505%,2026-07-07T20:37:05
코스메카코리아,00763473,분기x별도,2025 CQ4,operating_income,21037230681.0,11672082086,80.235%,2026-07-07T20:37:05
코스메카코리아,00763473,분기x별도,2026 CQ1,operating_income,21880306993.0,17764402890,23.169%,2026-07-07T20:37:05
파인테크닉스,00755739,연간x별도,2016,revenue,216325020984.0,189787081424,13.983%,2026-07-07T21:38:14
파인테크닉스,00755739,연간x별도,2017,revenue,174995498067.0,149753568222,16.856%,2026-07-07T21:38:14
파인테크닉스,00755739,연간x별도,2018,revenue,129688347829.0,108532637797,19.492%,2026-07-07T21:38:14
파인테크닉스,00755739,연간x별도,2019,revenue,134292076156.0,95839531291,40.122%,2026-07-07T21:38:14
파인테크닉스,00755739,연간x별도,2020,revenue,169822610005.0,113672270240,49.397%,2026-07-07T21:38:14
파인테크닉스,00755739,연간x별도,2021,revenue,433367771780.0,186657748601,132.172%,2026-07-07T21:38:14
파인테크닉스,00755739,연간x별도,2022,revenue,51459059482.0,51026551920,0.848%,2026-07-07T21:38:14
파인테크닉스,00755739,연간x별도,2024,revenue,57768466076.0,58457938786,1.179%,2026-07-07T21:38:14
파인테크닉스,00755739,연간x별도,2025,revenue,42876376647.0,40843846825,4.976%,2026-07-07T21:38:14
파인테크닉스,00755739,연간x별도,2016,operating_income,626547346.0,532402595,17.683%,2026-07-07T21:38:14
파인테크닉스,00755739,연간x별도,2017,operating_income,-26908168692.0,-26448875592,1.737%,2026-07-07T21:38:14
파인테크닉스,00755739,연간x별도,2018,operating_income,-18784975988.0,-20484107500,8.295%,2026-07-07T21:38:14
파인테크닉스,00755739,연간x별도,2019,operating_income,6917681692.0,8935510640,22.582%,2026-07-07T21:38:14
파인테크닉스,00755739,연간x별도,2020,operating_income,10071534420.0,6947498094,44.966%,2026-07-07T21:38:14
파인테크닉스,00755739,연간x별도,2021,operating_income,35948644414.0,20619096454,74.346%,2026-07-07T21:38:14
파인테크닉스,00755739,연간x별도,2022,operating_income,724352897.0,808813379,10.443%,2026-07-07T21:38:14
파인테크닉스,00755739,연간x별도,2023,operating_income,1247614307.0,1446082021,13.725%,2026-07-07T21:38:14
파인테크닉스,00755739,연간x별도,2024,operating_income,-1735718579.0,-789762855,119.777%,2026-07-07T21:38:14
파인테크닉스,00755739,연간x별도,2025,operating_income,-6412864510.0,-6683059693,4.043%,2026-07-07T21:38:14
