corp_code,combo,phase,seconds,timestamp
00187415,연간x연결,combo_total,5.34,2026-07-07T20:33:47
00187415,연간x별도,combo_total,6.22,2026-07-07T20:33:53
00187415,분기x연결,combo_total,7.46,2026-07-07T20:34:01
00187415,분기x별도,combo_total,6.24,2026-07-07T20:34:07
00365934,연간x연결,combo_total,5.17,2026-07-07T20:34:19
00365934,연간x별도,combo_total,6.26,2026-07-07T20:34:26
00365934,분기x연결,combo_total,8.46,2026-07-07T20:34:34
00365934,분기x별도,combo_total,6.30,2026-07-07T20:34:41
01493793,연간x연결,combo_total,5.17,2026-07-07T20:34:51
01493793,연간x별도,combo_total,6.14,2026-07-07T20:34:57
01493793,분기x연결,combo_total,7.19,2026-07-07T20:35:04
01493793,분기x별도,combo_total,6.11,2026-07-07T20:35:10
00442455,연간x연결,combo_total,5.14,2026-07-07T20:35:23
00442455,연간x별도,combo_total,6.19,2026-07-07T20:35:29
00442455,분기x연결,combo_total,7.28,2026-07-07T20:35:36
00442455,분기x별도,combo_total,6.26,2026-07-07T20:35:43
00305570,연간x연결,combo_total,5.10,2026-07-07T20:35:52
00305570,연간x별도,combo_total,6.21,2026-07-07T20:35:59
00305570,분기x연결,combo_total,7.37,2026-07-07T20:36:06
00305570,분기x별도,combo_total,6.28,2026-07-07T20:36:12
00656289,연간x연결,combo_total,5.11,2026-07-07T20:36:25
00656289,연간x별도,combo_total,6.30,2026-07-07T20:36:31
00656289,분기x연결,combo_total,7.33,2026-07-07T20:36:39
00656289,분기x별도,combo_total,6.27,2026-07-07T20:36:45
00763473,연간x연결,combo_total,5.13,2026-07-07T20:36:55
00763473,연간x별도,combo_total,6.15,2026-07-07T20:37:01
00763473,분기x연결,combo_total,4.41,2026-07-07T20:37:05
00763473,분기x별도,combo_total,6.15,2026-07-07T20:37:12
01476219,연간x연결,combo_total,5.09,2026-07-07T20:37:24
01476219,연간x별도,combo_total,6.12,2026-07-07T20:37:30
01476219,분기x연결,combo_total,7.16,2026-07-07T20:37:38
01476219,분기x별도,combo_total,6.16,2026-07-07T20:37:44
00989664,연간x연결,combo_total,5.19,2026-07-07T20:37:55
00989664,연간x별도,combo_total,6.11,2026-07-07T20:38:01
00989664,분기x연결,combo_total,7.33,2026-07-07T20:38:09
00989664,분기x별도,combo_total,6.29,2026-07-07T20:38:15
00271501,연간x연결,combo_total,5.12,2026-07-07T20:38:28
00271501,연간x별도,combo_total,6.21,2026-07-07T20:38:34
00271501,분기x연결,combo_total,7.39,2026-07-07T20:38:41
00271501,분기x별도,combo_total,6.34,2026-07-07T20:38:48
01031502,연간x연결,combo_total,5.30,2026-07-07T20:38:59
01031502,연간x별도,combo_total,6.16,2026-07-07T20:39:05
01031502,분기x연결,combo_total,7.27,2026-07-07T20:39:13
01031502,분기x별도,combo_total,6.36,2026-07-07T20:39:19
01512575,연간x연결,combo_total,5.08,2026-07-07T20:39:32
01512575,연간x별도,combo_total,6.13,2026-07-07T20:39:38
01512575,분기x연결,combo_total,7.13,2026-07-07T20:39:45
01512575,분기x별도,combo_total,6.39,2026-07-07T20:39:51
00525642,연간x연결,combo_total,4.60,2026-07-07T20:40:02
00525642,연간x별도,combo_total,6.14,2026-07-07T20:40:08
00525642,분기x연결,combo_total,7.20,2026-07-07T20:40:16
00525642,분기x별도,combo_total,6.27,2026-07-07T20:40:22
01245062,연간x연결,combo_total,5.10,2026-07-07T20:40:34
01245062,연간x별도,combo_total,6.14,2026-07-07T20:40:40
01245062,분기x연결,combo_total,7.23,2026-07-07T20:40:48
01245062,분기x별도,combo_total,6.38,2026-07-07T20:40:54
00360674,연간x연결,combo_total,5.08,2026-07-07T20:41:05
00360674,연간x별도,combo_total,6.14,2026-07-07T20:41:11
00360674,분기x연결,combo_total,7.28,2026-07-07T20:41:19
00360674,분기x별도,combo_total,6.41,2026-07-07T20:41:25
01211232,연간x연결,combo_total,5.08,2026-07-07T20:41:37
01211232,연간x별도,combo_total,6.13,2026-07-07T20:41:44
01211232,분기x연결,combo_total,7.18,2026-07-07T20:41:51
01211232,분기x별도,combo_total,6.26,2026-07-07T20:41:57
00807397,연간x연결,combo_total,5.13,2026-07-07T20:42:08
00807397,연간x별도,combo_total,6.09,2026-07-07T20:42:14
00807397,분기x연결,combo_total,7.25,2026-07-07T20:42:22
00807397,분기x별도,combo_total,6.21,2026-07-07T20:42:28
00959210,연간x연결,combo_total,5.06,2026-07-07T20:42:40
00959210,연간x별도,combo_total,6.11,2026-07-07T20:42:46
00959210,분기x연결,combo_total,7.21,2026-07-07T20:42:53
00959210,분기x별도,combo_total,6.10,2026-07-07T20:43:00
00446901,연간x연결,combo_total,5.08,2026-07-07T20:43:11
00446901,연간x별도,combo_total,6.07,2026-07-07T20:43:17
00446901,분기x연결,combo_total,7.11,2026-07-07T20:43:24
00446901,분기x별도,combo_total,6.08,2026-07-07T20:43:30
00187725,연간x연결,combo_total,5.09,2026-07-07T20:43:42
00187725,연간x별도,combo_total,6.19,2026-07-07T20:43:49
00187725,분기x연결,combo_total,7.24,2026-07-07T20:43:56
00187725,분기x별도,combo_total,6.35,2026-07-07T20:44:02
00305297,연간x연결,combo_total,5.19,2026-07-07T20:44:13
00305297,연간x별도,combo_total,6.12,2026-07-07T20:44:20
00305297,분기x연결,combo_total,7.12,2026-07-07T20:44:27
00305297,분기x별도,combo_total,6.25,2026-07-07T20:44:33
01364297,연간x연결,combo_total,5.08,2026-07-07T20:44:45
01364297,연간x별도,combo_total,6.13,2026-07-07T20:44:51
01364297,분기x연결,combo_total,7.13,2026-07-07T20:44:59
01364297,분기x별도,combo_total,6.17,2026-07-07T20:45:05
01032404,연간x연결,combo_total,4.43,2026-07-07T20:45:15
01032404,연간x별도,combo_total,6.09,2026-07-07T20:45:21
