company,corp_code,combo,metric,period,classification,detail,timestamp
이수페타시스,00107613,연간x연결,revenue,2009,data_gap,"UI blank, DB=None",2026-07-07T20:33:58
이수페타시스,00107613,연간x연결,operating_income,2009,data_gap,"UI blank, DB=None",2026-07-07T20:33:58
이수페타시스,00107613,분기x연결,revenue,2011 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:34:10
이수페타시스,00107613,분기x연결,revenue,2011 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:34:10
이수페타시스,00107613,분기x연결,revenue,2011 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:34:10
이수페타시스,00107613,분기x연결,operating_income,2011 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:34:10
이수페타시스,00107613,분기x연결,operating_income,2011 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:34:10
이수페타시스,00107613,분기x연결,operating_income,2011 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:34:10
이수화학,00145552,연간x연결,revenue,2010,data_gap,"UI blank, DB=None",2026-07-07T20:34:30
이수화학,00145552,연간x연결,operating_income,2004,data_gap,"UI blank, DB=None",2026-07-07T20:34:30
이수화학,00145552,연간x연결,operating_income,2006,data_gap,"UI blank, DB=None",2026-07-07T20:34:30
이수화학,00145552,연간x연결,operating_income,2007,data_gap,"UI blank, DB=None",2026-07-07T20:34:30
이수화학,00145552,연간x연결,operating_income,2010,data_gap,"UI blank, DB=None",2026-07-07T20:34:30
이수화학,00145552,연간x별도,operating_income,2006,data_gap,"UI blank, DB=None",2026-07-07T20:34:35
이수화학,00145552,분기x연결,operating_income,2004 CQ1,data_gap,"UI blank, DB=None",2026-07-07T20:34:42
이수화학,00145552,분기x연결,operating_income,2004 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:34:42
이수화학,00145552,분기x연결,operating_income,2004 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:34:42
이수화학,00145552,분기x연결,operating_income,2004 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:34:42
이수화학,00145552,분기x연결,operating_income,2005 CQ1,data_gap,"UI blank, DB=None",2026-07-07T20:34:42
이수화학,00145552,분기x연결,operating_income,2006 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:34:42
이수화학,00145552,분기x연결,operating_income,2006 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:34:42
이수화학,00145552,분기x연결,operating_income,2006 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:34:42
이수화학,00145552,분기x연결,operating_income,2007 CQ1,data_gap,"UI blank, DB=None",2026-07-07T20:34:42
이수화학,00145552,분기x연결,operating_income,2007 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:34:42
이수화학,00145552,분기x연결,operating_income,2007 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:34:42
이수화학,00145552,분기x연결,operating_income,2007 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:34:42
이수화학,00145552,분기x별도,revenue,2005 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:34:49
이수화학,00145552,분기x별도,revenue,2005 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:34:49
이수화학,00145552,분기x별도,operating_income,2005 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:34:49
이수화학,00145552,분기x별도,operating_income,2005 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:34:49
이수화학,00145552,분기x별도,operating_income,2006 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:34:49
이수화학,00145552,분기x별도,operating_income,2006 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:34:49
이수화학,00145552,분기x별도,operating_income,2006 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:34:49
이스타코,00134565,분기x연결,revenue,2011 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:35:13
이스타코,00134565,분기x연결,revenue,2011 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:35:13
이스타코,00134565,분기x연결,revenue,2011 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:35:13
이스타코,00134565,분기x연결,operating_income,2011 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:35:13
이스타코,00134565,분기x연결,operating_income,2011 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:35:13
이스타코,00134565,분기x연결,operating_income,2011 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:35:13
이월드,00540605,분기x연결,revenue,2011 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:36:50
이월드,00540605,분기x연결,revenue,2011 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:36:50
이월드,00540605,분기x연결,revenue,2011 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:36:50
이월드,00540605,분기x연결,operating_income,2011 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:36:50
