corp_code,corp_name,stock_code,market,fiscal_month,earliest_fy,latest_fy,distinct_fy_count
00126788,삼아제약,009300,KOSDAQ,12,2000,2026,26
00863533,삼양엔씨켐,482630,KOSDAQ,12,2022,2026,5
00141583,삼양컴텍,484590,KOSDAQ,12,2023,2026,4
00265041,삼양케이씨아이,036670,KOSDAQ,12,2000,2026,26
00405506,삼영에스앤씨,361670,KOSDAQ,12,2019,2026,8
00250614,삼영엠텍,054540,KOSDAQ,12,1999,2026,28
00288343,삼영이엔씨,065570,KOSDAQ,12,2001,2026,26
00127875,삼익제약,014950,KOSDAQ,12,2023,2026,4
00127909,삼일,032280,KOSDAQ,12,2000,2026,26
00127936,삼일기업공사,002290,KOSDAQ,12,1999,2026,28
00128315,삼지전자,037460,KOSDAQ,12,1999,2026,27
00173351,삼진,032750,KOSDAQ,12,1999,2026,28
01370322,삼진식품,0013V0,KOSDAQ,12,2023,2026,4
00239514,삼진엘앤디,054090,KOSDAQ,12,2001,2026,26
00128546,삼천당제약,000250,KOSDAQ,12,2000,2026,24
00128607,삼천리자전거,024950,KOSDAQ,12,2000,2026,26
00239639,삼표시멘트,038500,KOSDAQ,12,2003,2026,24
00262266,삼현,437730,KOSDAQ,12,2021,2026,6
00128926,삼현철강,017480,KOSDAQ,12,1999,2026,25
00301112,삼화네트웍스,046390,KOSDAQ,12,2001,2026,26
00129615,상보,027580,KOSDAQ,12,2005,2026,22
00306162,상상인,038540,KOSDAQ,12,1999,2026,28
00480783,상신이디피,091580,KOSDAQ,12,2005,2026,22
00760999,상신전자,263810,KOSDAQ,12,2015,2026,12
00181299,상아프론테크,089980,KOSDAQ,12,2009,2026,18
00232007,상지건설,042940,KOSDAQ,12,1999,2026,28
00147994,새로닉스,042600,KOSDAQ,12,2000,2026,27
00862880,새빗켐,107600,KOSDAQ,12,2020,2026,7
01242241,샌즈랩,411080,KOSDAQ,12,2020,2026,7
01199727,샘씨엔에스,252990,KOSDAQ,12,2019,2026,8
01387164,샤페론,378800,KOSDAQ,12,2020,2026,7
00867973,서남,294630,KOSDAQ,12,2017,2026,10
00373447,서린바이오,038070,KOSDAQ,12,2003,2026,24
00130408,서산,079650,KOSDAQ,12,2002,2026,25
00166528,서암기계공업,100660,KOSDAQ,12,2009,2026,18
00153278,서연탑메탈,019770,KOSDAQ,12,2009,2026,18
00488402,서울바이오시스,092190,KOSDAQ,12,2003,2026,24
00130763,서울반도체,046890,KOSDAQ,12,1999,2026,28
00410915,서울옥션,063170,KOSDAQ,12,2006,2026,21
00130587,서울전자통신,027040,KOSDAQ,12,1997,2026,30
00131018,서울제약,018680,KOSDAQ,12,1999,2026,28
