company,corp_code,combo,metric,period,classification,detail,timestamp
가비아,00506294,연간x별도,revenue,2006,data_gap,"UI blank, DB=None",2026-07-07T20:33:27
가비아,00506294,연간x별도,operating_income,2006,data_gap,"UI blank, DB=None",2026-07-07T20:33:27
감성코퍼레이션,00261009,분기x별도,revenue,2005 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:35:16
감성코퍼레이션,00261009,분기x별도,revenue,2006 CQ1,data_gap,"UI blank, DB=None",2026-07-07T20:35:16
감성코퍼레이션,00261009,분기x별도,revenue,2006 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:35:16
감성코퍼레이션,00261009,분기x별도,operating_income,2005 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:35:16
감성코퍼레이션,00261009,분기x별도,operating_income,2006 CQ1,data_gap,"UI blank, DB=None",2026-07-07T20:35:16
감성코퍼레이션,00261009,분기x별도,operating_income,2006 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:35:16
강스템바이오텍,01025644,분기x별도,revenue,2014 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:36:18
강스템바이오텍,01025644,분기x별도,revenue,2014 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:36:18
강스템바이오텍,01025644,분기x별도,revenue,2014 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:36:18
강스템바이오텍,01025644,분기x별도,operating_income,2014 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:36:18
강스템바이오텍,01025644,분기x별도,operating_income,2014 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:36:18
강스템바이오텍,01025644,분기x별도,operating_income,2014 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:36:18
경남제약,00307028,분기x별도,operating_income,2007 CQ1,data_gap,"UI blank, DB=None",2026-07-07T20:37:57
경남제약,00307028,분기x별도,operating_income,2007 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:37:57
골드앤에스,00249502,분기x연결,revenue,2011 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:40:31
골드앤에스,00249502,분기x연결,revenue,2011 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:40:31
골드앤에스,00249502,분기x연결,revenue,2011 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:40:31
골드앤에스,00249502,분기x연결,operating_income,2011 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:40:31
골드앤에스,00249502,분기x연결,operating_income,2011 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:40:31
골드앤에스,00249502,분기x연결,operating_income,2011 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:40:31
광무,00186452,분기x별도,revenue,2006 CQ1,data_gap,"UI blank, DB=None",2026-07-07T20:42:15
광무,00186452,분기x별도,revenue,2006 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:42:15
광무,00186452,분기x별도,operating_income,2006 CQ1,data_gap,"UI blank, DB=None",2026-07-07T20:42:15
광무,00186452,분기x별도,operating_income,2006 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:42:15
구영테크,00202060,분기x별도,revenue,2004 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:42:47
구영테크,00202060,분기x별도,revenue,2004 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:42:47
구영테크,00202060,분기x별도,operating_income,2004 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:42:47
구영테크,00202060,분기x별도,operating_income,2004 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:42:47
국보디자인,00253985,연간x별도,revenue,2005,data_gap,"UI blank, DB=None",2026-07-07T20:43:06
국보디자인,00253985,연간x별도,operating_income,2005,data_gap,"UI blank, DB=None",2026-07-07T20:43:06
국순당,00256715,분기x별도,revenue,2005 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:43:51
국순당,00256715,분기x별도,revenue,2006 CQ1,data_gap,"UI blank, DB=None",2026-07-07T20:43:51
국순당,00256715,분기x별도,revenue,2006 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:43:51
국순당,00256715,분기x별도,revenue,2006 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:43:51
국순당,00256715,분기x별도,operating_income,2005 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:43:51
국순당,00256715,분기x별도,operating_income,2006 CQ1,data_gap,"UI blank, DB=None",2026-07-07T20:43:51
국순당,00256715,분기x별도,operating_income,2006 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:43:51
국순당,00256715,분기x별도,operating_income,2006 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:43:51
국영지앤엠,00104537,연간x연결,revenue,2002,data_gap,"UI blank, DB=None",2026-07-07T20:44:05
국영지앤엠,00104537,연간x연결,operating_income,2002,data_gap,"UI blank, DB=None",2026-07-07T20:44:05
국영지앤엠,00104537,연간x별도,revenue,2002,data_gap,"UI blank, DB=None",2026-07-07T20:44:10
국영지앤엠,00104537,연간x별도,operating_income,2002,data_gap,"UI blank, DB=None",2026-07-07T20:44:10
국일제지,00104573,분기x연결,revenue,2011 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:45:20
국일제지,00104573,분기x연결,revenue,2011 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:45:20
국일제지,00104573,분기x연결,revenue,2011 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:45:20
국일제지,00104573,분기x연결,operating_income,2011 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:45:20
국일제지,00104573,분기x연결,operating_income,2011 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:45:20
국일제지,00104573,분기x연결,operating_income,2011 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:45:20
그래디언트,00244561,분기x별도,revenue,2005 CQ1,data_gap,"UI blank, DB=None",2026-07-07T20:46:31
그래디언트,00244561,분기x별도,revenue,2005 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:46:31
그래디언트,00244561,분기x별도,revenue,2012 CQ1,data_gap,"UI blank, DB=None",2026-07-07T20:46:31
그래디언트,00244561,분기x별도,revenue,2012 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:46:31
그래디언트,00244561,분기x별도,operating_income,2005 CQ1,data_gap,"UI blank, DB=None",2026-07-07T20:46:31
그래디언트,00244561,분기x별도,operating_income,2005 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:46:31
그래디언트,00244561,분기x별도,operating_income,2005 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:46:31
글로본,00159731,연간x별도,revenue,2013,data_gap,"UI blank, DB=None",2026-07-07T20:51:37
글로본,00159731,연간x별도,operating_income,2013,data_gap,"UI blank, DB=None",2026-07-07T20:51:37
글로본,00159731,분기x별도,operating_income,2006 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:51:50
글로본,00159731,분기x별도,operating_income,2006 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:51:50
금강철강,00105475,연간x별도,revenue,2002,data_gap,"UI blank, DB=None",2026-07-07T20:52:09
금강철강,00105475,연간x별도,operating_income,2002,data_gap,"UI blank, DB=None",2026-07-07T20:52:09
기산텔레콤,00258421,연간x별도,revenue,2002,data_gap,"UI blank, DB=None",2026-07-07T20:54:50
기산텔레콤,00258421,연간x별도,operating_income,2002,data_gap,"UI blank, DB=None",2026-07-07T20:54:50
기산텔레콤,00258421,분기x별도,revenue,2006 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:55:03
기산텔레콤,00258421,분기x별도,revenue,2006 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:55:03
기산텔레콤,00258421,분기x별도,operating_income,2006 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:55:03
기산텔레콤,00258421,분기x별도,operating_income,2006 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:55:03
나노,00994994,분기x연결,revenue,2014 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:55:59
나노,00994994,분기x연결,revenue,2015 CQ1,data_gap,"UI blank, DB=None",2026-07-07T20:55:59
