company,corp_code,combo,metric,period,classification,detail,timestamp
삼양케이씨아이,00265041,분기x별도,revenue,2010 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:35:28
삼양케이씨아이,00265041,분기x별도,revenue,2010 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:35:28
삼양케이씨아이,00265041,분기x별도,operating_income,2010 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:35:28
삼양케이씨아이,00265041,분기x별도,operating_income,2010 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:35:28
삼영이엔씨,00288343,연간x별도,revenue,2002,data_gap,"UI blank, DB=None",2026-07-07T20:36:51
삼영이엔씨,00288343,연간x별도,operating_income,2002,data_gap,"UI blank, DB=None",2026-07-07T20:36:51
삼일기업공사,00127936,분기x연결,revenue,2005 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:38:34
삼일기업공사,00127936,분기x연결,revenue,2006 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:38:34
삼일기업공사,00127936,분기x연결,revenue,2006 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:38:34
삼일기업공사,00127936,분기x연결,operating_income,2005 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:38:34
삼일기업공사,00127936,분기x연결,operating_income,2006 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:38:34
삼일기업공사,00127936,분기x연결,operating_income,2006 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:38:34
삼지전자,00128315,연간x별도,operating_income,2002,data_gap,"UI blank, DB=None",2026-07-07T20:39:01
삼천리자전거,00128607,연간x별도,revenue,2011,data_gap,"UI blank, DB=None",2026-07-07T20:41:42
삼천리자전거,00128607,분기x연결,revenue,2014 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:41:48
삼천리자전거,00128607,분기x연결,revenue,2014 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:41:48
삼천리자전거,00128607,분기x연결,revenue,2014 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:41:48
삼천리자전거,00128607,분기x연결,operating_income,2014 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:41:48
삼천리자전거,00128607,분기x연결,operating_income,2014 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:41:48
삼천리자전거,00128607,분기x연결,operating_income,2014 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:41:48
삼천리자전거,00128607,분기x별도,revenue,2011 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:41:56
삼현철강,00128926,연간x연결,revenue,2003,data_gap,"UI blank, DB=None",2026-07-07T20:43:13
삼현철강,00128926,연간x연결,operating_income,2003,data_gap,"UI blank, DB=None",2026-07-07T20:43:13
삼현철강,00128926,연간x별도,revenue,2003,data_gap,"UI blank, DB=None",2026-07-07T20:43:18
삼현철강,00128926,연간x별도,operating_income,2003,data_gap,"UI blank, DB=None",2026-07-07T20:43:18
상상인,00306162,연간x연결,revenue,2009,data_gap,"UI blank, DB=None",2026-07-07T20:44:49
상상인,00306162,연간x연결,operating_income,2009,data_gap,"UI blank, DB=None",2026-07-07T20:44:49
