company,corp_code,combo,metric,period,classification,detail,timestamp
엘컴텍,00242712,연간x연결,revenue,2009,data_gap,"UI blank, DB=None",2026-07-07T20:35:11
엘컴텍,00242712,연간x연결,operating_income,2009,data_gap,"UI blank, DB=None",2026-07-07T20:35:11
엘컴텍,00242712,분기x연결,revenue,2011 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:35:23
엘컴텍,00242712,분기x연결,revenue,2011 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:35:23
엘컴텍,00242712,분기x연결,revenue,2011 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:35:23
엘컴텍,00242712,분기x연결,operating_income,2011 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:35:23
엘컴텍,00242712,분기x연결,operating_income,2011 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:35:23
엘컴텍,00242712,분기x연결,operating_income,2011 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:35:23
엠게임,00397058,분기x별도,revenue,2025 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:37:07
엠게임,00397058,분기x별도,revenue,2025 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:37:07
엠디바이스,01022142,분기x별도,revenue,2019 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:37:39
엠디바이스,01022142,분기x별도,revenue,2019 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:37:39
엠디바이스,01022142,분기x별도,operating_income,2019 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:37:39
엠디바이스,01022142,분기x별도,operating_income,2019 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:37:39
엠에스씨,00121154,분기x연결,revenue,2011 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:40:15
엠에스씨,00121154,분기x연결,revenue,2011 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:40:15
엠에스씨,00121154,분기x연결,revenue,2011 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:40:15
엠에스씨,00121154,분기x연결,operating_income,2011 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:40:15
엠에스씨,00121154,분기x연결,operating_income,2011 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:40:15
엠에스씨,00121154,분기x연결,operating_income,2011 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:40:15
엠에스씨,00121154,분기x별도,revenue,2006 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:40:22
엠에스씨,00121154,분기x별도,operating_income,2006 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:40:22
엠젠솔루션,00110884,분기x별도,revenue,2006 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:43:34
엠젠솔루션,00110884,분기x별도,revenue,2006 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:43:34
엠젠솔루션,00110884,분기x별도,operating_income,2006 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:43:34
엠젠솔루션,00110884,분기x별도,operating_income,2006 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:43:34
엠케이전자,00121686,연간x연결,revenue,2011,data_gap,"UI blank, DB=None",2026-07-07T20:43:48
엠케이전자,00121686,연간x연결,operating_income,2011,data_gap,"UI blank, DB=None",2026-07-07T20:43:48
엠케이전자,00121686,연간x별도,revenue,2002,data_gap,"UI blank, DB=None",2026-07-07T20:43:53
엠케이전자,00121686,연간x별도,operating_income,2002,data_gap,"UI blank, DB=None",2026-07-07T20:43:53
엠투엔,00143226,연간x별도,revenue,2011,data_gap,"UI blank, DB=None",2026-07-07T20:44:25
엠투엔,00143226,연간x별도,operating_income,2011,data_gap,"UI blank, DB=None",2026-07-07T20:44:25
엠투엔,00143226,분기x연결,revenue,2013 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:44:31
엠투엔,00143226,분기x연결,revenue,2013 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:44:31
엠투엔,00143226,분기x연결,revenue,2013 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:44:31
엠투엔,00143226,분기x연결,operating_income,2013 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:44:31
엠투엔,00143226,분기x연결,operating_income,2013 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:44:31
엠투엔,00143226,분기x연결,operating_income,2013 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:44:31
엠투엔,00143226,분기x별도,revenue,2005 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:44:39
엠투엔,00143226,분기x별도,revenue,2005 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:44:39
엠투엔,00143226,분기x별도,revenue,2011 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:44:39
엠투엔,00143226,분기x별도,operating_income,2005 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:44:39
엠투엔,00143226,분기x별도,operating_income,2005 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:44:39
엠투엔,00143226,분기x별도,operating_income,2011 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:44:39
오공,00220969,분기x연결,revenue,2011 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:49:52
오공,00220969,분기x연결,revenue,2011 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:49:52
오공,00220969,분기x연결,revenue,2011 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:49:52
오공,00220969,분기x연결,operating_income,2011 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:49:52
오공,00220969,분기x연결,operating_income,2011 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:49:52
오공,00220969,분기x연결,operating_income,2011 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:49:52
오로라,00141556,분기x별도,revenue,2004 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:51:36
오로라,00141556,분기x별도,operating_income,2004 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:51:36
오르비텍,00297989,연간x연결,operating_income,2014,data_gap,"UI blank, DB=None",2026-07-07T20:52:21
오르비텍,00297989,분기x연결,operating_income,2014 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:52:33
오르비텍,00297989,분기x연결,operating_income,2015 CQ1,data_gap,"UI blank, DB=None",2026-07-07T20:52:33
오리엔탈정공,00141608,연간x별도,revenue,2002,data_gap,"UI blank, DB=None",2026-07-07T20:53:30
오리엔탈정공,00141608,연간x별도,revenue,2004,data_gap,"UI blank, DB=None",2026-07-07T20:53:30
오리엔탈정공,00141608,연간x별도,operating_income,2002,data_gap,"UI blank, DB=None",2026-07-07T20:53:30
오리엔탈정공,00141608,연간x별도,operating_income,2004,data_gap,"UI blank, DB=None",2026-07-07T20:53:30
오리엔트정공,00300405,연간x별도,revenue,2001,data_gap,"UI blank, DB=None",2026-07-07T20:54:02
오리엔트정공,00300405,연간x별도,revenue,2005,data_gap,"UI blank, DB=None",2026-07-07T20:54:02
오리엔트정공,00300405,연간x별도,operating_income,2001,data_gap,"UI blank, DB=None",2026-07-07T20:54:02
오리엔트정공,00300405,연간x별도,operating_income,2005,data_gap,"UI blank, DB=None",2026-07-07T20:54:02
오리엔트정공,00300405,분기x연결,revenue,2014 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:54:08
오리엔트정공,00300405,분기x연결,revenue,2014 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:54:08
오리엔트정공,00300405,분기x연결,revenue,2014 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:54:08
오리엔트정공,00300405,분기x연결,operating_income,2014 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:54:08
오리엔트정공,00300405,분기x연결,operating_income,2014 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:54:08
오리엔트정공,00300405,분기x연결,operating_income,2014 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:54:08
오리엔트정공,00300405,분기x별도,revenue,2005 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:54:16
오리엔트정공,00300405,분기x별도,operating_income,2005 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:54:16
오리콤,00141671,분기x별도,revenue,2006 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:54:46
오리콤,00141671,분기x별도,revenue,2006 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:54:46
오리콤,00141671,분기x별도,revenue,2006 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:54:46
오브젠,01472930,분기x별도,revenue,2025 CQ1,data_gap,"UI blank, DB=None",2026-07-07T20:55:18
오브젠,01472930,분기x별도,revenue,2025 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:55:18
오브젠,01472930,분기x별도,revenue,2025 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:55:18
오브젠,01472930,분기x별도,revenue,2025 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:55:18
오상자이엘,00226547,연간x별도,revenue,2002,data_gap,"UI blank, DB=None",2026-07-07T20:56:07
오상자이엘,00226547,연간x별도,operating_income,2002,data_gap,"UI blank, DB=None",2026-07-07T20:56:07
오상자이엘,00226547,분기x별도,revenue,2005 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:56:20
오상자이엘,00226547,분기x별도,revenue,2006 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:56:20
오상자이엘,00226547,분기x별도,revenue,2006 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:56:20
오상자이엘,00226547,분기x별도,operating_income,2005 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:56:20
오상자이엘,00226547,분기x별도,operating_income,2006 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:56:20
오상자이엘,00226547,분기x별도,operating_income,2006 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:56:20
오상헬스케어,00260657,연간x별도,revenue,2003,data_gap,"UI blank, DB=None",2026-07-07T20:56:37
오상헬스케어,00260657,연간x별도,revenue,2005,data_gap,"UI blank, DB=None",2026-07-07T20:56:37
오상헬스케어,00260657,연간x별도,revenue,2006,data_gap,"UI blank, DB=None",2026-07-07T20:56:37
오상헬스케어,00260657,연간x별도,operating_income,2003,data_gap,"UI blank, DB=None",2026-07-07T20:56:37
오상헬스케어,00260657,연간x별도,operating_income,2005,data_gap,"UI blank, DB=None",2026-07-07T20:56:37
오상헬스케어,00260657,연간x별도,operating_income,2006,data_gap,"UI blank, DB=None",2026-07-07T20:56:37
오상헬스케어,00260657,분기x연결,revenue,2012 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:56:43
오상헬스케어,00260657,분기x연결,revenue,2012 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:56:43
오상헬스케어,00260657,분기x연결,operating_income,2012 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:56:43
오상헬스케어,00260657,분기x연결,operating_income,2012 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:56:43
오션인더블유,00349811,연간x별도,revenue,2004,data_gap,"UI blank, DB=None",2026-07-07T20:57:38
오션인더블유,00349811,연간x별도,operating_income,2004,data_gap,"UI blank, DB=None",2026-07-07T20:57:38
오스템,00175173,분기x별도,revenue,2006 CQ1,data_gap,"UI blank, DB=None",2026-07-07T20:59:26
오스템,00175173,분기x별도,revenue,2006 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:59:26
오스템,00175173,분기x별도,revenue,2006 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:59:26
오스템,00175173,분기x별도,operating_income,2006 CQ1,data_gap,"UI blank, DB=None",2026-07-07T20:59:26
오스템,00175173,분기x별도,operating_income,2006 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:59:26
오스템,00175173,분기x별도,operating_income,2006 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:59:26
오텍,00397289,연간x별도,revenue,2002,data_gap,"UI blank, DB=None",2026-07-07T21:01:49
오텍,00397289,연간x별도,operating_income,2002,data_gap,"UI blank, DB=None",2026-07-07T21:01:49
오픈놀,01585155,연간x별도,revenue,2024,data_gap,"UI blank, DB=None",2026-07-07T21:03:25
오픈놀,01585155,분기x별도,revenue,2024 CQ4,data_gap,"UI blank, DB=None",2026-07-07T21:03:39
오픈놀,01585155,분기x별도,revenue,2025 CQ1,data_gap,"UI blank, DB=None",2026-07-07T21:03:39
오픈놀,01585155,분기x별도,revenue,2025 CQ2,data_gap,"UI blank, DB=None",2026-07-07T21:03:39
온코크로스,01423916,분기x연결,revenue,2021 CQ4,data_gap,"UI blank, DB=None",2026-07-07T21:05:40
온코크로스,01423916,분기x연결,revenue,2022 CQ1,data_gap,"UI blank, DB=None",2026-07-07T21:05:40
온코크로스,01423916,분기x연결,revenue,2022 CQ2,data_gap,"UI blank, DB=None",2026-07-07T21:05:40
온코크로스,01423916,분기x연결,revenue,2022 CQ3,data_gap,"UI blank, DB=None",2026-07-07T21:05:40
온코크로스,01423916,분기x연결,revenue,2022 CQ4,data_gap,"UI blank, DB=None",2026-07-07T21:05:40
온코크로스,01423916,분기x연결,revenue,2023 CQ1,data_gap,"UI blank, DB=None",2026-07-07T21:05:40
온코크로스,01423916,분기x연결,revenue,2023 CQ2,data_gap,"UI blank, DB=None",2026-07-07T21:05:40
온코크로스,01423916,분기x연결,revenue,2023 CQ3,data_gap,"UI blank, DB=None",2026-07-07T21:05:40
온코크로스,01423916,분기x연결,operating_income,2025 CQ4,data_gap,"UI blank, DB=None",2026-07-07T21:05:40
올리패스,01070149,연간x별도,revenue,2017,data_gap,"UI blank, DB=None",2026-07-07T21:06:06
올리패스,01070149,연간x별도,revenue,2018,data_gap,"UI blank, DB=None",2026-07-07T21:06:06
올리패스,01070149,분기x연결,revenue,2016 CQ2,data_gap,"UI blank, DB=None",2026-07-07T21:06:12
올리패스,01070149,분기x연결,revenue,2016 CQ3,data_gap,"UI blank, DB=None",2026-07-07T21:06:12
올리패스,01070149,분기x연결,revenue,2017 CQ2,data_gap,"UI blank, DB=None",2026-07-07T21:06:12
올리패스,01070149,분기x연결,revenue,2017 CQ3,data_gap,"UI blank, DB=None",2026-07-07T21:06:12
올리패스,01070149,분기x별도,revenue,2016 CQ2,data_gap,"UI blank, DB=None",2026-07-07T21:06:19
올리패스,01070149,분기x별도,revenue,2016 CQ3,data_gap,"UI blank, DB=None",2026-07-07T21:06:19
올리패스,01070149,분기x별도,revenue,2017 CQ2,data_gap,"UI blank, DB=None",2026-07-07T21:06:19
올리패스,01070149,분기x별도,revenue,2017 CQ3,data_gap,"UI blank, DB=None",2026-07-07T21:06:19
올리패스,01070149,분기x별도,revenue,2017 CQ4,data_gap,"UI blank, DB=None",2026-07-07T21:06:19
올리패스,01070149,분기x별도,revenue,2018 CQ1,data_gap,"UI blank, DB=None",2026-07-07T21:06:19
올리패스,01070149,분기x별도,revenue,2018 CQ2,data_gap,"UI blank, DB=None",2026-07-07T21:06:19
올리패스,01070149,분기x별도,revenue,2018 CQ4,data_gap,"UI blank, DB=None",2026-07-07T21:06:19
옵투스제약,00831428,연간x연결,revenue,2011,data_gap,"UI blank, DB=None",2026-07-07T21:07:37
옵투스제약,00831428,연간x연결,revenue,2012,data_gap,"UI blank, DB=None",2026-07-07T21:07:37
