corp_code,corp_name,stock_code,market,fiscal_month,earliest_fy,latest_fy,distinct_fy_count
00107613,이수페타시스,007660,KOSPI,12,1999,2026,28
00145552,이수화학,005950,KOSPI,12,1999,2026,28
00134565,이스타코,015020,KOSPI,12,2000,2026,26
00469799,이엔플러스,074610,KOSPI,12,2002,2026,25
00145598,이연제약,102460,KOSPI,12,2008,2026,19
00540605,이월드,084680,KOSPI,12,2004,2026,23
00145686,이화산업,000760,KOSPI,12,1998,2026,26
00652423,인바이오젠,101140,KOSPI,12,2007,2026,20
00145862,인천도시가스,034590,KOSPI,12,2004,2026,23
00151368,인터지스,129260,KOSPI,12,2009,2026,18
00180795,인팩,023810,KOSPI,12,2001,2026,25
01168383,일동제약,249420,KOSPI,12,2015,2026,12
00146083,일동홀딩스,000230,KOSPI,12,2000,2026,27
00146232,일성건설,013360,KOSPI,12,1999,2026,28
00146214,일성아이에스,003120,KOSPI,12,2000,2026,26
00146269,일신방직,003200,KOSPI,12,1999,2026,28
00146296,일신석재,007110,KOSPI,12,1997,2026,28
00146454,일양약품,007570,KOSPI,12,2001,2026,26
00508274,일진다이아,081000,KOSPI,12,2003,2026,24
00198697,일진디스플,020760,KOSPI,12,2001,2026,26
00683469,일진전기,103590,KOSPI,12,2007,2026,20
00972503,일진하이솔루스,271940,KOSPI,12,2019,2026,8
00146649,일진홀딩스,015860,KOSPI,12,2000,2026,27
00911955,잇츠한불,226320,KOSPI,12,2013,2026,14
00367844,자이에스앤디,317400,KOSPI,12,2017,2026,10
00146861,자화전자,033240,KOSPI,12,1999,2026,28
00147222,전방,000950,KOSPI,12,1997,2026,29
00372129,전진건설로봇,079900,KOSPI,12,2022,2026,5
00332927,제이에스코퍼레이션,194370,KOSPI,12,2013,2026,14
00148276,제일기획,030000,KOSPI,12,1998,2026,29
01236897,제일약품,271980,KOSPI,12,2017,2026,10
00148461,제일연마,001560,KOSPI,12,2003,2026,24
00148443,제일파마홀딩스,002620,KOSPI,12,1999,2026,28
00148832,제주은행,006220,KOSPI,12,1998,2026,29
00555874,제주항공,089590,KOSPI,12,2005,2026,22
00148920,조광페인트,004910,KOSPI,12,1999,2026,27
00148939,조광피혁,004700,KOSPI,12,1998,2026,29
00148948,조비,001550,KOSPI,12,1997,2026,30
01770203,조선내화,462520,KOSPI,12,2023,2026,4
00796994,조선선재,120030,KOSPI,12,2009,2026,18
00149239,조일알미늄,018470,KOSPI,12,1997,2026,30
