company,corp_code,combo,period,metric,ui_csv_value,db_value,diff_pct,timestamp
삼영이엔씨,00288343,분기x별도,2016 CQ1,revenue,8212415332.0,7733103583,6.198%,2026-07-07T20:37:05
삼영이엔씨,00288343,분기x별도,2016 CQ2,revenue,10400907842.0,10880219591,4.405%,2026-07-07T20:37:05
삼영이엔씨,00288343,분기x별도,2017 CQ1,revenue,7278180580.0,8212415332,11.376%,2026-07-07T20:37:05
삼영이엔씨,00288343,분기x별도,2017 CQ2,revenue,10387598644.0,9453363892,9.883%,2026-07-07T20:37:05
삼영이엔씨,00288343,분기x별도,2016 CQ1,operating_income,1511185310.0,1995799816,24.282%,2026-07-07T20:37:05
삼영이엔씨,00288343,분기x별도,2016 CQ2,operating_income,2533698417.0,2049083911,23.650%,2026-07-07T20:37:05
삼영이엔씨,00288343,분기x별도,2017 CQ1,operating_income,262761112.0,1511185310,82.612%,2026-07-07T20:37:05
삼영이엔씨,00288343,분기x별도,2017 CQ2,operating_income,2942958935.0,1775893195,65.717%,2026-07-07T20:37:05
삼영이엔씨,00288343,분기x별도,2017 CQ3,operating_income,1242010128.0,1354623421,8.313%,2026-07-07T20:37:05
삼영이엔씨,00288343,분기x별도,2017 CQ4,operating_income,762440315.0,939016827,18.804%,2026-07-07T20:37:05
삼영이엔씨,00288343,분기x별도,2018 CQ1,operating_income,262761112.0,467305535,43.771%,2026-07-07T20:37:05
삼영이엔씨,00288343,분기x별도,2018 CQ2,operating_income,686226801.0,1196865044,42.665%,2026-07-07T20:37:05
삼영이엔씨,00288343,분기x별도,2018 CQ3,operating_income,209969292.0,325678123,35.529%,2026-07-07T20:37:05
삼영이엔씨,00288343,분기x별도,2018 CQ4,operating_income,-237532064.0,-97184887,144.413%,2026-07-07T20:37:05
삼영이엔씨,00288343,분기x별도,2019 CQ1,operating_income,52826724.0,201368179,73.766%,2026-07-07T20:37:05
삼영이엔씨,00288343,분기x별도,2019 CQ2,operating_income,1150343217.0,1367397304,15.874%,2026-07-07T20:37:05
삼영이엔씨,00288343,분기x별도,2019 CQ3,operating_income,361969308.0,619273215,41.549%,2026-07-07T20:37:05
