corp_code,corp_name,stock_code,market,fiscal_month,earliest_fy,latest_fy,distinct_fy_count
00918222,엘앤케이바이오,156100,KOSDAQ,12,2010,2026,17
00494218,엘엠에스,073110,KOSDAQ,12,2005,2026,22
00484682,엘오티베큠,083310,KOSDAQ,12,2003,2026,24
00242712,엘컴텍,037950,KOSDAQ,12,2000,2026,27
01747977,엘케이켐,489500,KOSDAQ,12,2022,2026,5
00866062,엘티씨,170920,KOSDAQ,12,2011,2026,16
00397058,엠게임,058630,KOSDAQ,12,2005,2026,22
01022142,엠디바이스,226590,KOSDAQ,12,2017,2026,9
00396925,엠로,058970,KOSDAQ,12,2013,2026,14
00877174,엠브레인,169330,KOSDAQ,6,2018,2026,9
01497142,엠아이큐브솔루션,373170,KOSDAQ,12,2021,2026,6
00531829,엠아이텍,179290,KOSDAQ,12,2016,2026,11
00121154,엠에스씨,009780,KOSDAQ,12,1999,2026,27
00259545,엠에스오토텍,123040,KOSDAQ,12,2008,2026,19
01217795,엠에프씨,432980,KOSDAQ,12,2022,2026,5
00137915,엠엑스로보틱스,007820,KOSDAQ,12,2009,2026,18
00670766,엠엑스온,347890,KOSDAQ,12,2018,2026,9
01563922,엠오티,413390,KOSDAQ,12,2022,2026,5
00110884,엠젠솔루션,032790,KOSDAQ,12,1999,2026,28
00121686,엠케이전자,033160,KOSDAQ,12,2000,2026,27
00143226,엠투엔,033310,KOSDAQ,12,1999,2026,28
00833064,엠플러스,259630,KOSDAQ,12,2015,2026,12
00766106,엣지파운드리,105550,KOSDAQ,12,2012,2026,15
00532129,영림원소프트랩,060850,KOSDAQ,12,2018,2026,9
00569646,영우디에스피,143540,KOSDAQ,12,2012,2026,15
00659976,영화테크,265560,KOSDAQ,12,2015,2026,12
00259934,예림당,036000,KOSDAQ,12,1999,2026,27
01166109,예선테크,250930,KOSDAQ,12,2014,2026,13
01626391,오가노이드사이언스,476040,KOSDAQ,12,2023,2026,4
01169434,오가닉티코스메틱,900300,KOSDAQ,12,2014,2026,13
00220969,오공,045060,KOSDAQ,12,1999,2026,28
00623184,오늘이엔엠,192410,KOSDAQ,12,2012,2026,15
00529815,오디텍,080520,KOSDAQ,12,2005,2026,22
00141556,오로라,039830,KOSDAQ,12,1999,2026,28
01016479,오로스테크놀로지,322310,KOSDAQ,12,2018,2026,9
00297989,오르비텍,046120,KOSDAQ,12,2008,2026,19
01658831,오름테라퓨틱,475830,KOSDAQ,12,2022,2026,5
00141608,오리엔탈정공,014940,KOSDAQ,12,1999,2026,28
00300405,오리엔트정공,065500,KOSDAQ,12,2000,2026,27
00141671,오리콤,010470,KOSDAQ,12,1999,2026,28
01472930,오브젠,417860,KOSDAQ,12,2020,2026,7
00494546,오비고,352910,KOSDAQ,12,2019,2026,8
00226547,오상자이엘,053980,KOSDAQ,12,1999,2026,28
00260657,오상헬스케어,036220,KOSDAQ,12,2002,2026,24
00350048,오성첨단소재,052420,KOSDAQ,12,1999,2026,28
00349811,오션인더블유,052300,KOSDAQ,12,1999,2026,28
00263654,오스코텍,039200,KOSDAQ,12,2004,2026,23
01082348,오스테오닉,226400,KOSDAQ,12,2013,2026,14
00175173,오스템,031510,KOSDAQ,12,1997,2026,30
01428948,오아,342870,KOSDAQ,12,2023,2026,4
01491607,오에스피,368970,KOSDAQ,12,2020,2026,7
00571483,오이솔루션,138080,KOSDAQ,12,2011,2026,16
00543107,오킨스전자,080580,KOSDAQ,12,2012,2026,15
00397289,오텍,067170,KOSDAQ,12,2001,2026,26
01084294,오토앤,353590,KOSDAQ,12,2019,2026,8
00867849,오파스넷,173130,KOSDAQ,12,2013,2026,14
01585155,오픈놀,440320,KOSDAQ,12,2021,2026,6
00335076,오픈베이스,049480,KOSDAQ,12,1999,2026,27
01571107,오픈엣지테크놀로지,394280,KOSDAQ,12,2020,2026,7
01632912,온코닉테라퓨틱스,476060,KOSDAQ,12,2022,2026,5
01423916,온코크로스,382150,KOSDAQ,12,2019,2026,8
01070149,올리패스,244460,KOSDAQ,12,2014,2026,13
01113718,올릭스,226950,KOSDAQ,12,2015,2026,12
00265005,옴니시스템,057540,KOSDAQ,12,2005,2026,22
00831428,옵투스제약,131030,KOSDAQ,12,2009,2026,18
00327396,옵트론텍,082210,KOSDAQ,12,2003,2026,24
00660291,옵티시스,109080,KOSDAQ,12,2009,2026,18
01506990,옵티코어,380540,KOSDAQ,12,2020,2026,7
00971726,옵티팜,153710,KOSDAQ,12,2016,2026,11
01406265,와이랩,432430,KOSDAQ,12,2021,2026,6
01226234,와이바이오로직스,338840,KOSDAQ,12,2020,2026,7
00759294,와이솔,122990,KOSDAQ,12,2008,2026,19
01109539,와이씨,232140,KOSDAQ,12,2015,2026,12
00619507,와이씨켐,112290,KOSDAQ,12,2020,2026,7
00250137,와이어블,065530,KOSDAQ,12,2000,2026,27
00190756,와이엔텍,067900,KOSDAQ,12,2003,2026,24
