corp_code,corp_name,stock_code,market,fiscal_month,earliest_fy,latest_fy,distinct_fy_count
00187415,코미팜,041960,KOSDAQ,12,1999,2026,28
00365934,코세스,089890,KOSDAQ,12,2004,2026,23
01493793,코셈,360350,KOSDAQ,12,2021,2026,6
00442455,코스나인,082660,KOSDAQ,12,2003,2026,24
00305570,코스리거글로벌,043710,KOSDAQ,12,2000,2026,27
00656289,코스맥스엔비티,222040,KOSDAQ,12,2013,2026,14
00763473,코스메카코리아,241710,KOSDAQ,12,2014,2026,13
01476219,코스텍시스,355150,KOSDAQ,12,2018,2026,9
00989664,코아스템켐온,166480,KOSDAQ,12,2013,2026,14
00271501,코아시아,045970,KOSDAQ,12,1999,2026,28
01031502,코아시아씨엠,196450,KOSDAQ,12,2013,2026,14
01512575,코어라인소프트,384470,KOSDAQ,12,2021,2026,6
00525642,코오롱생명과학,102940,KOSDAQ,12,2007,2026,20
01245062,코오롱티슈진,950160,KOSDAQ,12,2015,2026,12
00360674,코위버,056360,KOSDAQ,12,2000,2026,26
01211232,코윈테크,282880,KOSDAQ,12,2017,2026,10
00807397,코이즈,121850,KOSDAQ,12,2010,2026,17
00959210,코츠테크놀로지,448710,KOSDAQ,12,2021,2026,6
00446901,코칩,126730,KOSDAQ,12,2022,2026,5
00187725,코콤,015710,KOSDAQ,12,1999,2026,28
00305297,코텍,052330,KOSDAQ,12,1999,2026,28
01364297,코퍼스코리아,322780,KOSDAQ,12,2019,2026,8
01032404,콜마비앤에이치,200130,KOSDAQ,12,2013,2026,14
01311055,쿠콘,294570,KOSDAQ,12,2017,2026,10
01671285,쿼드메디슨,464490,KOSDAQ,12,2022,2026,5
01311286,퀀타매트릭스,317690,KOSDAQ,12,2018,2026,9
01584183,퀄리타스반도체,432720,KOSDAQ,12,2021,2026,6
01397772,큐라클,365270,KOSDAQ,12,2019,2026,8
01357765,큐라티스,348080,KOSDAQ,12,2019,2026,8
00356802,큐렉소,060280,KOSDAQ,12,2000,2026,27
01492651,큐로셀,372320,KOSDAQ,12,2021,2026,6
00296324,큐로홀딩스,051780,KOSDAQ,12,1999,2026,27
01042650,큐리언트,115180,KOSDAQ,12,2013,2026,14
01786958,큐리오시스,494120,KOSDAQ,12,2023,2026,4
01498974,큐리옥스바이오시스템즈,445680,KOSDAQ,12,2021,2026,6
00985686,큐브엔터,182360,KOSDAQ,12,2012,2026,15
01033591,큐알티,405100,KOSDAQ,12,2020,2026,7
00411446,큐에스아이,066310,KOSDAQ,12,2004,2026,23
01175499,큐에이드,377460,KOSDAQ,12,2020,2026,7
00267942,큐캐피탈,016600,KOSDAQ,12,1998,2026,29
01514005,크라우드웍스,355390,KOSDAQ,12,2021,2026,6
00525882,크레버스,096240,KOSDAQ,12,2006,2026,21
00522007,크리스에프앤씨,110790,KOSDAQ,12,2016,2026,11
01107665,크리스탈신소재,900250,KOSDAQ,12,2013,2026,14
00185222,크린앤사이언스,045520,KOSDAQ,12,1999,2026,28
01061327,클래시스,214150,KOSDAQ,12,2015,2026,12
01784914,클로봇,466100,KOSDAQ,12,2022,2026,5
00957735,클리오,237880,KOSDAQ,12,2014,2026,13
00535375,키네마스터,139670,KOSDAQ,12,2009,2026,18
00204323,키스트론,475430,KOSDAQ,12,2023,2026,4
00353762,키이스트,054780,KOSDAQ,12,2001,2026,26
01037214,킵스파마,256940,KOSDAQ,12,2013,2026,14
00617314,타이거일렉,219130,KOSDAQ,12,2013,2026,14
00814582,탑런토탈솔루션,336680,KOSDAQ,12,2022,2026,5
01360875,탑머티리얼,360070,KOSDAQ,12,2020,2026,7
00366845,탑엔지니어링,065130,KOSDAQ,12,2001,2026,26
00608699,탑코미디어,134580,KOSDAQ,12,2011,2026,16
00153375,태광,023160,KOSDAQ,12,1997,2026,30
01366000,태성,323280,KOSDAQ,12,2019,2026,8
00186717,태양,053620,KOSDAQ,12,1999,2026,28
00186799,태웅,044490,KOSDAQ,12,1999,2026,25
00562245,태웅로직스,124560,KOSDAQ,12,2017,2026,10
00926522,테고사이언스,191420,KOSDAQ,12,2012,2026,15
01957282,테라뷰,950250,KOSDAQ,12,2024,2026,3
00373021,테라사이언스,073640,KOSDAQ,12,2001,2026,26
00249894,테라젠이텍스,066700,KOSDAQ,12,2002,2026,25
00524421,테스,095610,KOSDAQ,12,2006,2026,21
00370255,테크엘,064520,KOSDAQ,12,2001,2026,26
00535676,테크윙,089030,KOSDAQ,12,2009,2026,18
00423177,텔레칩스,054450,KOSDAQ,12,2002,2026,25
01436479,토마토시스템,393210,KOSDAQ,12,2018,2026,9
01573336,토모큐브,475960,KOSDAQ,12,2022,2026,5
01064069,토박스코리아,215480,KOSDAQ,12,2014,2026,13
00390365,토비스,051360,KOSDAQ,12,2002,2026,25
00355089,토탈소프트,045340,KOSDAQ,12,2000,2026,27
00531917,톱텍,108230,KOSDAQ,12,2007,2026,20
00596260,투비소프트,079970,KOSDAQ,12,2008,2026,19
00547510,툴젠,199800,KOSDAQ,12,2011,2026,16
01134216,트루엔,417790,KOSDAQ,12,2021,2026,6
01217014,트윔,290090,KOSDAQ,12,2019,2026,8
00186939,특수건설,026150,KOSDAQ,12,1999,2026,27
01232192,티디에스팜,464280,KOSDAQ,12,2022,2026,5
00867098,티로보틱스,117730,KOSDAQ,12,2015,2026,12
00372688,티사이언티픽,057680,KOSDAQ,12,2000,2026,27
00609661,티쓰리,204610,KOSDAQ,12,2020,2026,7
00381756,티씨머티리얼즈,125020,KOSDAQ,12,2023,2026,4
00245472,티씨케이,064760,KOSDAQ,12,2001,2026,26
01109937,티앤알바이오팹,246710,KOSDAQ,12,2016,2026,11
00608440,티앤엘,340570,KOSDAQ,12,2018,2026,9
00317487,티에스넥스젠,043220,KOSDAQ,12,1999,2026,28
01139035,티에스아이,277880,KOSDAQ,12,2014,2026,12
00372226,티에스이,131290,KOSDAQ,12,2008,2026,19
01035368,티에프이,425420,KOSDAQ,12,2020,2026,7
01458161,티엑스알로보틱스,484810,KOSDAQ,12,2022,2026,5
00814786,티엔엔터테인먼트,131100,KOSDAQ,12,2009,2026,18
00920379,티엘비,356860,KOSDAQ,12,2018,2026,9
01335930,티움바이오,321550,KOSDAQ,12,2017,2026,10
01301252,티이엠씨,425040,KOSDAQ,12,2020,2026,7
01113754,티이엠씨씨엔에스,241790,KOSDAQ,12,2014,2026,13
00140061,티케이지애강,022220,KOSDAQ,12,1997,2026,30
00693554,티케이케미칼,104480,KOSDAQ,12,2009,2026,18
00497631,티플랙스,081150,KOSDAQ,12,2007,2026,20
00578538,티피씨글로벌,130740,KOSDAQ,12,2008,2026,19
00438036,팅크웨어,084730,KOSDAQ,12,2004,2026,23
01292291,파두,440110,KOSDAQ,12,2021,2026,6
01130849,파라택시스이더리움,290560,KOSDAQ,12,2021,2026,6
01227039,파라택시스코리아,288330,KOSDAQ,12,2017,2026,10
00105138,파라텍,033540,KOSDAQ,12,1998,2026,29
01495180,파로스아이바이오,388870,KOSDAQ,12,2021,2026,6
00266934,파루,043200,KOSDAQ,12,1999,2026,26
00970453,파마리서치,214450,KOSDAQ,12,2013,2026,14
00429694,파버나인,177830,KOSDAQ,12,2012,2026,15
00238153,파세코,037070,KOSDAQ,12,2000,2026,27
00231354,파워넷,037030,KOSDAQ,12,1999,2026,25
00269612,파워로직스,047310,KOSDAQ,12,2001,2026,26
01513440,파이버프로,368770,KOSDAQ,12,2018,2026,9
00492353,파이오링크,170790,KOSDAQ,12,2011,2026,16
00781202,파이온엑스,900100,KOSDAQ,12,2008,2026,19
00350020,파인디앤씨,049120,KOSDAQ,12,1999,2026,28
00264732,파인디지털,038950,KOSDAQ,12,1999,2026,28
01455410,파인메딕스,387570,KOSDAQ,12,2022,2026,5
01686755,파인엠텍,441270,KOSDAQ,12,2022,2026,5
00755739,파인테크닉스,106240,KOSDAQ,12,2008,2026,19
00820352,파인텍,131760,KOSDAQ,12,2013,2026,14
00384762,파커스,065690,KOSDAQ,12,2000,2026,27
00244747,파크시스템스,140860,KOSDAQ,12,2013,2026,14
00490151,파트론,091700,KOSDAQ,12,2004,2026,23
00231691,판타지오,032800,KOSDAQ,6,2000,2026,27
00986898,팜스빌,318010,KOSDAQ,12,2017,2026,10
