corp_code,combo,phase,seconds,timestamp
00126788,연간x연결,combo_total,5.25,2026-07-07T20:33:40
00126788,연간x별도,combo_total,6.22,2026-07-07T20:33:46
00126788,분기x연결,combo_total,7.20,2026-07-07T20:33:53
00126788,분기x별도,combo_total,6.41,2026-07-07T20:34:00
00863533,연간x연결,combo_total,5.13,2026-07-07T20:34:13
00863533,연간x별도,combo_total,6.21,2026-07-07T20:34:19
00863533,분기x연결,combo_total,7.28,2026-07-07T20:34:26
00863533,분기x별도,combo_total,6.15,2026-07-07T20:34:32
00141583,연간x연결,combo_total,5.11,2026-07-07T20:34:42
00141583,연간x별도,combo_total,6.11,2026-07-07T20:34:48
00141583,분기x연결,combo_total,7.17,2026-07-07T20:34:56
00141583,분기x별도,combo_total,6.10,2026-07-07T20:35:02
00265041,연간x연결,combo_total,5.17,2026-07-07T20:35:14
00265041,연간x별도,combo_total,6.23,2026-07-07T20:35:21
00265041,분기x연결,combo_total,7.13,2026-07-07T20:35:28
00265041,분기x별도,combo_total,6.17,2026-07-07T20:35:34
00405506,연간x연결,combo_total,5.18,2026-07-07T20:35:47
00405506,연간x별도,combo_total,6.11,2026-07-07T20:35:53
00405506,분기x연결,combo_total,7.12,2026-07-07T20:36:00
00405506,분기x별도,combo_total,6.21,2026-07-07T20:36:06
00250614,연간x연결,combo_total,5.12,2026-07-07T20:36:19
00250614,연간x별도,combo_total,6.17,2026-07-07T20:36:25
00250614,분기x연결,combo_total,7.36,2026-07-07T20:36:32
00250614,분기x별도,combo_total,6.27,2026-07-07T20:36:39
00288343,연간x연결,combo_total,5.12,2026-07-07T20:36:51
00288343,연간x별도,combo_total,6.24,2026-07-07T20:36:57
00288343,분기x연결,combo_total,7.19,2026-07-07T20:37:05
00288343,분기x별도,combo_total,6.29,2026-07-07T20:37:11
00127875,연간x연결,combo_total,5.11,2026-07-07T20:37:24
00127875,연간x별도,combo_total,6.08,2026-07-07T20:37:30
00127875,분기x연결,combo_total,7.10,2026-07-07T20:37:37
00127875,분기x별도,combo_total,6.12,2026-07-07T20:37:43
00127909,연간x연결,combo_total,5.16,2026-07-07T20:37:56
00127909,연간x별도,combo_total,6.23,2026-07-07T20:38:02
00127909,분기x연결,combo_total,7.25,2026-07-07T20:38:09
00127909,분기x별도,combo_total,6.28,2026-07-07T20:38:16
00127936,연간x연결,combo_total,5.17,2026-07-07T20:38:28
00127936,연간x별도,combo_total,6.19,2026-07-07T20:38:34
00127936,분기x연결,combo_total,7.36,2026-07-07T20:38:42
00127936,분기x별도,combo_total,6.16,2026-07-07T20:38:48
00128315,연간x연결,combo_total,5.16,2026-07-07T20:39:01
00128315,연간x별도,combo_total,6.15,2026-07-07T20:39:07
00128315,분기x연결,combo_total,7.32,2026-07-07T20:39:14
00128315,분기x별도,combo_total,6.44,2026-07-07T20:39:21
00173351,연간x연결,combo_total,5.17,2026-07-07T20:39:33
00173351,연간x별도,combo_total,6.18,2026-07-07T20:39:39
00173351,분기x연결,combo_total,7.22,2026-07-07T20:39:47
00173351,분기x별도,combo_total,6.35,2026-07-07T20:39:53
01370322,연간x연결,combo_total,5.17,2026-07-07T20:40:06
01370322,연간x별도,combo_total,6.13,2026-07-07T20:40:12
01370322,분기x연결,combo_total,7.10,2026-07-07T20:40:19
01370322,분기x별도,combo_total,6.13,2026-07-07T20:40:25
00239514,연간x연결,combo_total,5.16,2026-07-07T20:40:38
00239514,연간x별도,combo_total,6.24,2026-07-07T20:40:44
00239514,분기x연결,combo_total,7.28,2026-07-07T20:40:51
00239514,분기x별도,combo_total,6.39,2026-07-07T20:40:57
00128546,연간x연결,combo_total,5.11,2026-07-07T20:41:10
00128546,연간x별도,combo_total,6.14,2026-07-07T20:41:16
00128546,분기x연결,combo_total,7.37,2026-07-07T20:41:23
00128546,분기x별도,combo_total,6.30,2026-07-07T20:41:30
00128607,연간x연결,combo_total,5.10,2026-07-07T20:41:42
00128607,연간x별도,combo_total,6.13,2026-07-07T20:41:48
00128607,분기x연결,combo_total,7.21,2026-07-07T20:41:56
00128607,분기x별도,combo_total,6.23,2026-07-07T20:42:02
00239639,연간x연결,combo_total,5.09,2026-07-07T20:42:14
00239639,연간x별도,combo_total,6.11,2026-07-07T20:42:20
00239639,분기x연결,combo_total,7.23,2026-07-07T20:42:28
00239639,분기x별도,combo_total,6.23,2026-07-07T20:42:34
00262266,연간x연결,combo_total,5.07,2026-07-07T20:42:46
00262266,연간x별도,combo_total,6.06,2026-07-07T20:42:52
00262266,분기x연결,combo_total,7.10,2026-07-07T20:42:59
00262266,분기x별도,combo_total,6.12,2026-07-07T20:43:05
00128926,연간x연결,combo_total,5.19,2026-07-07T20:43:18
00128926,연간x별도,combo_total,6.15,2026-07-07T20:43:24
00128926,분기x연결,combo_total,7.29,2026-07-07T20:43:31
00128926,분기x별도,combo_total,6.28,2026-07-07T20:43:38
00301112,연간x연결,combo_total,5.12,2026-07-07T20:43:50
00301112,연간x별도,combo_total,6.12,2026-07-07T20:43:56
00301112,분기x연결,combo_total,7.39,2026-07-07T20:44:04
00301112,분기x별도,combo_total,6.38,2026-07-07T20:44:10
00129615,연간x연결,combo_total,5.10,2026-07-07T20:44:22
00129615,연간x별도,combo_total,6.12,2026-07-07T20:44:29
00129615,분기x연결,combo_total,7.28,2026-07-07T20:44:36
00129615,분기x별도,combo_total,6.27,2026-07-07T20:44:42
00306162,연간x연결,combo_total,5.13,2026-07-07T20:44:55
00306162,연간x별도,combo_total,6.12,2026-07-07T20:45:01
00306162,분기x연결,combo_total,7.26,2026-07-07T20:45:08
00306162,분기x별도,combo_total,6.39,2026-07-07T20:45:14
00480783,연간x연결,combo_total,5.06,2026-07-07T20:45:27
00480783,연간x별도,combo_total,6.17,2026-07-07T20:45:33
00480783,분기x연결,combo_total,7.26,2026-07-07T20:45:40
00480783,분기x별도,combo_total,6.22,2026-07-07T20:45:46
00760999,연간x연결,combo_total,5.10,2026-07-07T20:45:59
00760999,연간x별도,combo_total,6.11,2026-07-07T20:46:05
00760999,분기x연결,combo_total,7.33,2026-07-07T20:46:12
00760999,분기x별도,combo_total,6.29,2026-07-07T20:46:19
00181299,연간x연결,combo_total,5.21,2026-07-07T20:46:31
00181299,연간x별도,combo_total,6.19,2026-07-07T20:46:37
00181299,분기x연결,combo_total,7.31,2026-07-07T20:46:45
00181299,분기x별도,combo_total,6.21,2026-07-07T20:46:51
00232007,연간x연결,combo_total,5.14,2026-07-07T20:47:03
00232007,연간x별도,combo_total,6.16,2026-07-07T20:47:09
00232007,분기x연결,combo_total,7.19,2026-07-07T20:47:16
00232007,분기x별도,combo_total,6.24,2026-07-07T20:47:23
00147994,연간x연결,combo_total,5.19,2026-07-07T20:47:35
00147994,연간x별도,combo_total,6.15,2026-07-07T20:47:41
00147994,분기x연결,combo_total,7.35,2026-07-07T20:47:49
00147994,분기x별도,combo_total,6.21,2026-07-07T20:47:55
00862880,연간x연결,combo_total,5.16,2026-07-07T20:48:07
00862880,연간x별도,combo_total,6.35,2026-07-07T20:48:14
00862880,분기x연결,combo_total,7.21,2026-07-07T20:48:21
00862880,분기x별도,combo_total,6.11,2026-07-07T20:48:27
01242241,연간x연결,combo_total,5.07,2026-07-07T20:48:39
01242241,연간x별도,combo_total,6.09,2026-07-07T20:48:45
01242241,분기x연결,combo_total,7.13,2026-07-07T20:48:53
01242241,분기x별도,combo_total,6.11,2026-07-07T20:48:59
01199727,연간x연결,combo_total,5.10,2026-07-07T20:49:11
01199727,연간x별도,combo_total,6.14,2026-07-07T20:49:17
01199727,분기x연결,combo_total,7.14,2026-07-07T20:49:25
01199727,분기x별도,combo_total,6.12,2026-07-07T20:49:31
01387164,연간x연결,combo_total,5.12,2026-07-07T20:49:43
01387164,연간x별도,combo_total,6.11,2026-07-07T20:49:49
01387164,분기x연결,combo_total,7.10,2026-07-07T20:49:56
01387164,분기x별도,combo_total,6.11,2026-07-07T20:50:03
00867973,연간x연결,combo_total,5.11,2026-07-07T20:50:15
00867973,연간x별도,combo_total,6.09,2026-07-07T20:50:21
00867973,분기x연결,combo_total,7.21,2026-07-07T20:50:28
00867973,분기x별도,combo_total,6.18,2026-07-07T20:50:34
00373447,연간x연결,combo_total,5.13,2026-07-07T20:50:47
00373447,연간x별도,combo_total,6.12,2026-07-07T20:50:53
00373447,분기x연결,combo_total,7.29,2026-07-07T20:51:00
00373447,분기x별도,combo_total,6.23,2026-07-07T20:51:06
00130408,연간x연결,combo_total,5.12,2026-07-07T20:51:19
00130408,연간x별도,combo_total,6.16,2026-07-07T20:51:25
00130408,분기x연결,combo_total,7.35,2026-07-07T20:51:32
00130408,분기x별도,combo_total,6.24,2026-07-07T20:51:39
00166528,연간x연결,combo_total,5.07,2026-07-07T20:51:51
00166528,연간x별도,combo_total,6.11,2026-07-07T20:51:57
00166528,분기x연결,combo_total,7.11,2026-07-07T20:52:04
00166528,분기x별도,combo_total,6.27,2026-07-07T20:52:11
00153278,연간x연결,combo_total,5.13,2026-07-07T20:52:23
00153278,연간x별도,combo_total,6.24,2026-07-07T20:52:29
00153278,분기x연결,combo_total,7.28,2026-07-07T20:52:37
00153278,분기x별도,combo_total,6.20,2026-07-07T20:52:43
00488402,연간x연결,combo_total,5.14,2026-07-07T20:52:55
00488402,연간x별도,combo_total,6.17,2026-07-07T20:53:01
00488402,분기x연결,combo_total,7.23,2026-07-07T20:53:09
00488402,분기x별도,combo_total,6.32,2026-07-07T20:53:15
00130763,연간x연결,combo_total,5.15,2026-07-07T20:53:26
00130763,연간x별도,combo_total,6.15,2026-07-07T20:53:32
00130763,분기x연결,combo_total,7.25,2026-07-07T20:53:40
00130763,분기x별도,combo_total,6.25,2026-07-07T20:53:46
00410915,연간x연결,combo_total,5.13,2026-07-07T20:53:58
00410915,연간x별도,combo_total,6.19,2026-07-07T20:54:04
00410915,분기x연결,combo_total,7.21,2026-07-07T20:54:12
00410915,분기x별도,combo_total,6.26,2026-07-07T20:54:18
00130587,연간x연결,combo_total,5.43,2026-07-07T20:54:30
00130587,연간x별도,combo_total,6.44,2026-07-07T20:54:36
00130587,분기x연결,combo_total,7.26,2026-07-07T20:54:43
00130587,분기x별도,combo_total,6.33,2026-07-07T20:54:50
00131018,연간x연결,combo_total,5.12,2026-07-07T20:55:02
00131018,연간x별도,combo_total,6.20,2026-07-07T20:55:08
00131018,분기x연결,combo_total,7.24,2026-07-07T20:55:15
00131018,분기x별도,combo_total,6.39,2026-07-07T20:55:22
00260745,연간x연결,combo_total,5.14,2026-07-07T20:55:34
00260745,연간x별도,combo_total,6.28,2026-07-07T20:55:40
00260745,분기x연결,combo_total,7.24,2026-07-07T20:55:48
00260745,분기x별도,combo_total,6.24,2026-07-07T20:55:54
00445799,연간x연결,combo_total,5.13,2026-07-07T20:56:07
00445799,연간x별도,combo_total,6.30,2026-07-07T20:56:13
00445799,분기x연결,combo_total,7.23,2026-07-07T20:56:20
00445799,분기x별도,combo_total,6.28,2026-07-07T20:56:26
00869272,연간x연결,combo_total,5.11,2026-07-07T20:56:36
00869272,연간x별도,combo_total,6.16,2026-07-07T20:56:42
00869272,분기x연결,combo_total,7.16,2026-07-07T20:56:50
00869272,분기x별도,combo_total,6.28,2026-07-07T20:56:56
