corp_code,combo,phase,seconds,timestamp
00107613,연간x연결,combo_total,5.49,2026-07-07T20:34:04
00107613,연간x별도,combo_total,6.26,2026-07-07T20:34:10
00107613,분기x연결,combo_total,7.34,2026-07-07T20:34:17
00107613,분기x별도,combo_total,6.31,2026-07-07T20:34:24
00145552,연간x연결,combo_total,5.35,2026-07-07T20:34:35
00145552,연간x별도,combo_total,6.24,2026-07-07T20:34:42
00145552,분기x연결,combo_total,7.45,2026-07-07T20:34:49
00145552,분기x별도,combo_total,6.38,2026-07-07T20:34:56
00134565,연간x연결,combo_total,5.33,2026-07-07T20:35:07
00134565,연간x별도,combo_total,6.22,2026-07-07T20:35:13
00134565,분기x연결,combo_total,7.24,2026-07-07T20:35:21
00134565,분기x별도,combo_total,6.38,2026-07-07T20:35:27
00469799,연간x연결,combo_total,5.30,2026-07-07T20:35:40
00469799,연간x별도,combo_total,6.25,2026-07-07T20:35:46
00469799,분기x연결,combo_total,7.31,2026-07-07T20:35:53
00469799,분기x별도,combo_total,6.25,2026-07-07T20:36:00
00145598,연간x연결,combo_total,5.23,2026-07-07T20:36:11
00145598,연간x별도,combo_total,6.26,2026-07-07T20:36:18
00145598,분기x연결,combo_total,7.25,2026-07-07T20:36:25
00145598,분기x별도,combo_total,6.51,2026-07-07T20:36:32
00540605,연간x연결,combo_total,5.13,2026-07-07T20:36:44
00540605,연간x별도,combo_total,6.26,2026-07-07T20:36:50
00540605,분기x연결,combo_total,7.19,2026-07-07T20:36:58
00540605,분기x별도,combo_total,6.35,2026-07-07T20:37:04
00145686,연간x연결,combo_total,4.43,2026-07-07T20:37:15
00145686,연간x별도,combo_total,6.21,2026-07-07T20:37:21
00145686,분기x연결,combo_total,7.26,2026-07-07T20:37:28
00145686,분기x별도,combo_total,6.26,2026-07-07T20:37:34
00652423,연간x연결,combo_total,5.20,2026-07-07T20:37:47
00652423,연간x별도,combo_total,6.20,2026-07-07T20:37:53
00652423,분기x연결,combo_total,7.28,2026-07-07T20:38:01
00652423,분기x별도,combo_total,6.25,2026-07-07T20:38:07
00145862,연간x연결,combo_total,5.16,2026-07-07T20:38:18
00145862,연간x별도,combo_total,6.20,2026-07-07T20:38:24
00145862,분기x연결,combo_total,7.16,2026-07-07T20:38:32
00145862,분기x별도,combo_total,6.33,2026-07-07T20:38:38
00151368,연간x연결,combo_total,5.14,2026-07-07T20:38:51
00151368,연간x별도,combo_total,6.19,2026-07-07T20:38:57
00151368,분기x연결,combo_total,7.25,2026-07-07T20:39:04
00151368,분기x별도,combo_total,6.27,2026-07-07T20:39:11
00180795,연간x연결,combo_total,5.36,2026-07-07T20:39:22
00180795,연간x별도,combo_total,6.14,2026-07-07T20:39:28
00180795,분기x연결,combo_total,7.25,2026-07-07T20:39:36
00180795,분기x별도,combo_total,6.26,2026-07-07T20:39:42
01168383,연간x연결,combo_total,5.17,2026-07-07T20:39:55
01168383,연간x별도,combo_total,6.17,2026-07-07T20:40:01
01168383,분기x연결,combo_total,7.25,2026-07-07T20:40:08
01168383,분기x별도,combo_total,6.31,2026-07-07T20:40:15
00146083,연간x연결,combo_total,4.52,2026-07-07T20:40:25
00146083,연간x별도,combo_total,6.13,2026-07-07T20:40:31
00146083,분기x연결,combo_total,7.25,2026-07-07T20:40:39
00146083,분기x별도,combo_total,6.29,2026-07-07T20:40:45
00146232,연간x연결,combo_total,5.17,2026-07-07T20:40:58
00146232,연간x별도,combo_total,6.20,2026-07-07T20:41:04
00146232,분기x연결,combo_total,7.22,2026-07-07T20:41:11
00146232,분기x별도,combo_total,6.28,2026-07-07T20:41:18
00146214,연간x연결,combo_total,5.11,2026-07-07T20:41:29
00146214,연간x별도,combo_total,6.18,2026-07-07T20:41:35
00146214,분기x연결,combo_total,7.30,2026-07-07T20:41:42
00146214,분기x별도,combo_total,6.25,2026-07-07T20:41:49
00146269,연간x연결,combo_total,5.23,2026-07-07T20:42:01
