corp_code,corp_name,stock_code,market,fiscal_month,earliest_fy,latest_fy,distinct_fy_count
01478712,대덕전자,353200,KOSPI,12,2020,2026,7
00109286,대동,000490,KOSPI,12,1999,2026,27
00109754,대림바스,005750,KOSPI,12,1999,2026,28
00109824,대림통상,006570,KOSPI,12,2005,2026,22
00121941,대상,001680,KOSPI,12,2001,2026,26
00539274,대상홀딩스,084690,KOSPI,12,2004,2026,23
00828789,대성산업,128820,KOSPI,12,2010,2026,17
00787376,대성에너지,117580,KOSPI,12,2008,2026,19
00108940,대성홀딩스,016710,KOSPI,12,1997,2026,30
00110893,대신증권,003540,KOSPI,12,2000,2026,27
00111111,대양금속,009190,KOSPI,12,2001,2026,23
00111458,대영포장,014160,KOSPI,12,1997,2026,30
00124540,대우건설,047040,KOSPI,12,1999,2026,28
00111810,대웅,003090,KOSPI,12,2001,2026,26
00427483,대웅제약,069620,KOSPI,12,2002,2026,24
00111847,대원강업,000430,KOSPI,12,1999,2026,28
00260392,대원전선,006340,KOSPI,12,1997,2026,29
00111999,대원제약,003220,KOSPI,12,1999,2026,28
00112022,대원화성,024890,KOSPI,12,1999,2026,27
00112651,대창,012800,KOSPI,12,1997,2026,28
00112679,대창단조,015230,KOSPI,12,1999,2026,28
00112970,대한방직,001070,KOSPI,12,1999,2026,27
00260383,대한유화,006650,KOSPI,12,1999,2026,28
00113207,대한전선,001440,KOSPI,12,2000,2026,27
00113225,대한제강,084010,KOSPI,12,2004,2026,23
00113234,대한제당,001790,KOSPI,12,1999,2026,26
00182696,대한조선,439260,KOSPI,12,2023,2026,4
00113526,대한항공,003490,KOSPI,12,2000,2026,27
00113535,대한해운,005880,KOSPI,12,1998,2026,29
00113544,대한화섬,003830,KOSPI,12,1999,2026,28
00113614,대현,016090,KOSPI,12,1997,2026,30
00428729,대호에이엘,069460,KOSPI,12,2002,2026,24
00968607,더본코리아,475560,KOSPI,12,2022,2026,5
01010110,더블유게임즈,192080,KOSPI,12,2013,2026,14
00172291,더존비즈온,012510,KOSPI,12,1997,2026,30
00526599,덴티움,145720,KOSPI,12,2014,2026,13
00114552,도화엔지니어링,002150,KOSPI,12,2008,2026,19
01765256,동국씨엠,460850,KOSPI,12,2023,2026,4
01765265,동국제강,460860,KOSPI,12,2023,2026,4
00114792,동국홀딩스,001230,KOSPI,12,1998,2026,29
00115065,동남합성,023450,KOSPI,12,1999,2026,27
00115287,동방,004140,KOSPI,12,1999,2026,28
00115384,동방아그로,007590,KOSPI,12,2000,2026,26
00115612,동부건설,005960,KOSPI,12,1999,2026,27
00144395,동서,026960,KOSPI,12,1999,2026,28
00116268,동성제약,002210,KOSPI,12,2000,2026,26
00679314,동성케미컬,102260,KOSPI,12,2007,2026,20
00116824,동아쏘시오홀딩스,000640,KOSPI,12,1999,2026,28
00956930,동아에스티,170900,KOSPI,12,2012,2026,15
00178754,동아지질,028100,KOSPI,12,2007,2026,20
00117337,동양,001520,KOSPI,12,1999,2026,28
00540641,동양고속,084670,KOSPI,12,2004,2026,23
00117267,동양생명,082640,KOSPI,12,2004,2026,23
00118008,동원금속,018500,KOSPI,3,2000,2026,27
00118026,동원산업,006040,KOSPI,12,1999,2026,28
00118044,동원수산,030720,KOSPI,12,1999,2026,28
00132637,동원시스템즈,014820,KOSPI,12,1999,2026,28
00367710,동인기연,111380,KOSPI,12,2021,2026,6
00939687,동일고무벨트,163560,KOSPI,12,2012,2026,15
00172936,동일산업,004890,KOSPI,12,2003,2026,24
00118451,동일제강,002690,KOSPI,12,2013,2026,14
00119195,동화약품,000020,KOSPI,12,2001,2026,26
00117212,두산,000150,KOSPI,12,2000,2026,27
01105153,두산로보틱스,454910,KOSPI,12,2021,2026,6
01032486,두산밥캣,241560,KOSPI,12,2014,2026,13
00159616,두산에너빌리티,034020,KOSPI,12,2000,2026,27
01412725,두산퓨얼셀,336260,KOSPI,12,2019,2026,8
00119672,두올,016740,KOSPI,12,2014,2026,13
00415646,드림텍,192650,KOSPI,12,2016,2026,11
00177199,디씨엠,024090,KOSPI,12,2000,2026,25
00118275,디아이,003160,KOSPI,12,1999,2026,28
00118345,디아이동일,001530,KOSPI,12,1999,2026,28
00112165,디아이씨,092200,KOSPI,12,2005,2026,22
00117179,디와이,013570,KOSPI,12,2001,2026,26
00114154,디와이덕양,024900,KOSPI,12,1997,2026,29
00149804,디와이에이,002880,KOSPI,12,1999,2026,28
01059605,디와이파워,210540,KOSPI,12,2013,2026,14
00231372,롯데관광개발,032350,KOSPI,12,2004,2026,23
00545716,롯데렌탈,089860,KOSPI,12,2004,2026,23
00113562,롯데손해보험,000400,KOSPI,12,2000,2026,27
00120526,롯데쇼핑,023530,KOSPI,12,1999,2026,28
01258507,롯데웰푸드,280360,KOSPI,12,2017,2026,10
01262032,롯데이노베이트,286940,KOSPI,12,2017,2026,10
00157681,롯데정밀화학,004000,KOSPI,12,2000,2026,27
00120562,롯데지주,004990,KOSPI,12,2000,2026,26
00120571,롯데칠성음료,005300,KOSPI,12,1997,2026,30
00165413,롯데케미칼,011170,KOSPI,12,2000,2026,25
00158307,롯데하이마트,071840,KOSPI,12,1999,2026,26
00204208,마니커,027740,KOSPI,12,2000,2026,27
00120872,만호제강,001080,KOSPI,6,2000,2026,24
00442835,메타랩스,090370,KOSPI,12,2004,2026,23
00791209,메타케어,118000,KOSPI,12,2008,2026,19
00121039,명문제약,017180,KOSPI,12,2006,2026,21
00173078,명신산업,009900,KOSPI,12,2018,2026,9
00179489,명인제약,317450,KOSPI,12,2023,2026,4
00173102,모나리자,012690,KOSPI,12,1997,2026,30
00121288,모나미,005360,KOSPI,12,1999,2026,27
00365989,모나용평,070960,KOSPI,12,2001,2026,22
00151128,모토닉,009680,KOSPI,12,1997,2026,30
00136086,무림페이퍼,009200,KOSPI,12,1999,2026,28
00121543,무학,033920,KOSPI,12,1999,2026,28
00121570,문배철강,008420,KOSPI,12,1999,2026,28
00197759,미래산업,025560,KOSPI,12,1999,2026,26
00104786,미래아이앤지,007120,KOSPI,12,2000,2026,27
00112332,미래에셋생명,085620,KOSPI,12,2004,2026,22
00111722,미래에셋증권,006800,KOSPI,12,2000,2026,27
00195229,미스토홀딩스,081660,KOSPI,12,2007,2026,20
00121932,미원상사,002840,KOSPI,12,2000,2026,26
01234297,미원에스씨,268280,KOSPI,12,2017,2026,10
00706715,미원홀딩스,107590,KOSPI,12,2008,2026,19
00855163,미원화학,134380,KOSPI,12,2010,2026,17
00122056,미창석유공업,003650,KOSPI,12,1997,2026,30
00622787,바이오노트,377740,KOSPI,12,2018,2026,9
00122348,방림,003610,KOSPI,9,2000,2026,27
00122551,백산,035150,KOSPI,12,1999,2026,28
00122694,범양건영,002410,KOSPI,12,1998,2026,29
00122898,벽산,007210,KOSPI,12,1997,2026,29
00123107,보락,002760,KOSPI,12,1998,2026,26
00123143,보령,003850,KOSPI,12,2000,2026,27
00123541,보해양조,000890,KOSPI,12,1999,2026,28
00123718,부광약품,003000,KOSPI,12,2000,2026,27
00123772,부국증권,001270,KOSPI,12,2000,2026,27
00123781,부국철강,026940,KOSPI,12,1997,2026,28
00124027,부산산업,011390,KOSPI,12,1997,2026,27
00124151,부산주공,005030,KOSPI,12,1998,2026,28
00141404,블루산업개발,006740,KOSPI,12,2000,2026,27
00107677,비비안,002070,KOSPI,12,1998,2026,28
00520887,비상교육,100220,KOSPI,12,2006,2026,21
00447609,비에이치,090460,KOSPI,12,2004,2026,23
00124726,빙그레,005180,KOSPI,12,2000,2026,24
00109718,사조대림,003960,KOSPI,12,2000,2026,27
00137252,사조동아원,008040,KOSPI,12,2000,2026,26
00124799,사조산업,007160,KOSPI,12,1999,2026,28
00124780,사조씨푸드,014710,KOSPI,12,2010,2026,17
00141875,사조오양,006090,KOSPI,12,2000,2026,27
00366438,산일전기,062040,KOSPI,12,2022,2026,5
00125530,삼립,005610,KOSPI,12,1998,2026,29
00125974,삼부토건,001470,KOSPI,12,1999,2026,28
00126201,삼성공조,006660,KOSPI,12,1999,2026,28
00149655,삼성물산,028260,KOSPI,12,2011,2026,16
00877059,삼성바이오로직스,207940,KOSPI,12,2014,2026,13
00126256,삼성생명,032830,KOSPI,12,2000,2026,27
00126186,삼성에스디에스,018260,KOSPI,12,2001,2026,26
01965324,삼성에피스홀딩스,0126Z0,KOSPI,12,2025,2026,2
00126371,삼성전기,009150,KOSPI,12,1999,2026,28
00126414,삼성제약,001360,KOSPI,12,1999,2026,28
00126478,삼성중공업,010140,KOSPI,12,1999,2026,28
00104856,삼성증권,016360,KOSPI,12,2000,2026,27
00423690,삼성출판사,068290,KOSPI,12,2001,2026,26
00126292,삼성카드,029780,KOSPI,12,1999,2026,28
00139214,삼성화재해상보험,000810,KOSPI,12,2000,2026,27
00126779,삼아알미늄,006110,KOSPI,12,2000,2026,27
01965333,삼양바이오팜,0120G0,KOSPI,12,2025,2026,2
00896285,삼양사,145990,KOSPI,12,2010,2026,17
