corp_code,combo,phase,seconds,timestamp
00918222,연간x연결,combo_total,5.21,2026-07-07T20:33:41
00918222,연간x별도,combo_total,6.22,2026-07-07T20:33:47
00918222,분기x연결,combo_total,7.24,2026-07-07T20:33:55
00918222,분기x별도,combo_total,6.31,2026-07-07T20:34:01
00494218,연간x연결,combo_total,5.13,2026-07-07T20:34:14
00494218,연간x별도,combo_total,6.29,2026-07-07T20:34:20
00494218,분기x연결,combo_total,7.35,2026-07-07T20:34:27
00494218,분기x별도,combo_total,6.53,2026-07-07T20:34:34
00484682,연간x연결,combo_total,5.14,2026-07-07T20:34:44
00484682,연간x별도,combo_total,6.18,2026-07-07T20:34:50
00484682,분기x연결,combo_total,7.34,2026-07-07T20:34:58
00484682,분기x별도,combo_total,6.28,2026-07-07T20:35:04
00242712,연간x연결,combo_total,5.14,2026-07-07T20:35:17
00242712,연간x별도,combo_total,6.23,2026-07-07T20:35:23
00242712,분기x연결,combo_total,7.31,2026-07-07T20:35:30
00242712,분기x별도,combo_total,6.25,2026-07-07T20:35:37
01747977,연간x연결,combo_total,5.18,2026-07-07T20:35:49
01747977,연간x별도,combo_total,6.15,2026-07-07T20:35:55
01747977,분기x연결,combo_total,7.15,2026-07-07T20:36:02
01747977,분기x별도,combo_total,6.14,2026-07-07T20:36:09
00866062,연간x연결,combo_total,5.10,2026-07-07T20:36:21
00866062,연간x별도,combo_total,6.13,2026-07-07T20:36:27
00866062,분기x연결,combo_total,7.36,2026-07-07T20:36:35
00866062,분기x별도,combo_total,6.19,2026-07-07T20:36:41
00397058,연간x연결,combo_total,5.22,2026-07-07T20:36:54
00397058,연간x별도,combo_total,6.25,2026-07-07T20:37:00
00397058,분기x연결,combo_total,7.13,2026-07-07T20:37:07
00397058,분기x별도,combo_total,6.28,2026-07-07T20:37:13
01022142,연간x연결,combo_total,5.10,2026-07-07T20:37:26
01022142,연간x별도,combo_total,6.16,2026-07-07T20:37:32
01022142,분기x연결,combo_total,7.13,2026-07-07T20:37:39
01022142,분기x별도,combo_total,7.54,2026-07-07T20:37:47
00396925,연간x연결,combo_total,5.09,2026-07-07T20:37:59
00396925,연간x별도,combo_total,6.19,2026-07-07T20:38:06
00396925,분기x연결,combo_total,7.18,2026-07-07T20:38:13
00396925,분기x별도,combo_total,6.22,2026-07-07T20:38:19
00877174,연간x연결,combo_total,5.09,2026-07-07T20:38:32
00877174,연간x별도,combo_total,6.16,2026-07-07T20:38:38
00877174,분기x연결,combo_total,7.18,2026-07-07T20:38:45
00877174,분기x별도,combo_total,6.29,2026-07-07T20:38:51
01497142,연간x연결,combo_total,5.08,2026-07-07T20:39:04
01497142,연간x별도,combo_total,6.09,2026-07-07T20:39:10
01497142,분기x연결,combo_total,7.27,2026-07-07T20:39:17
01497142,분기x별도,combo_total,6.18,2026-07-07T20:39:24
00531829,연간x연결,combo_total,5.10,2026-07-07T20:39:36
00531829,연간x별도,combo_total,6.14,2026-07-07T20:39:42
00531829,분기x연결,combo_total,7.30,2026-07-07T20:39:50
00531829,분기x별도,combo_total,6.16,2026-07-07T20:39:56
00121154,연간x연결,combo_total,5.12,2026-07-07T20:40:09
00121154,연간x별도,combo_total,6.23,2026-07-07T20:40:15
00121154,분기x연결,combo_total,7.33,2026-07-07T20:40:22
00121154,분기x별도,combo_total,6.30,2026-07-07T20:40:29
00259545,연간x연결,combo_total,5.24,2026-07-07T20:40:41
00259545,연간x별도,combo_total,6.22,2026-07-07T20:40:47
00259545,분기x연결,combo_total,7.18,2026-07-07T20:40:55
00259545,분기x별도,combo_total,6.29,2026-07-07T20:41:01
01217795,연간x연결,combo_total,5.08,2026-07-07T20:41:13
01217795,연간x별도,combo_total,6.24,2026-07-07T20:41:20
01217795,분기x연결,combo_total,7.21,2026-07-07T20:41:27
01217795,분기x별도,combo_total,6.11,2026-07-07T20:41:33
00137915,연간x연결,combo_total,5.12,2026-07-07T20:41:45
00137915,연간x별도,combo_total,6.10,2026-07-07T20:41:51
00137915,분기x연결,combo_total,7.37,2026-07-07T20:41:59
00137915,분기x별도,combo_total,6.24,2026-07-07T20:42:05
00670766,연간x연결,combo_total,5.06,2026-07-07T20:42:17
00670766,연간x별도,combo_total,6.08,2026-07-07T20:42:23
00670766,분기x연결,combo_total,7.14,2026-07-07T20:42:30
00670766,분기x별도,combo_total,6.27,2026-07-07T20:42:37
01563922,연간x연결,combo_total,5.09,2026-07-07T20:42:49
01563922,연간x별도,combo_total,6.12,2026-07-07T20:42:55
01563922,분기x연결,combo_total,7.11,2026-07-07T20:43:02
01563922,분기x별도,combo_total,6.08,2026-07-07T20:43:08
00110884,연간x연결,combo_total,5.15,2026-07-07T20:43:21
00110884,연간x별도,combo_total,6.11,2026-07-07T20:43:27
00110884,분기x연결,combo_total,7.24,2026-07-07T20:43:34
00110884,분기x별도,combo_total,6.22,2026-07-07T20:43:40
00121686,연간x연결,combo_total,5.09,2026-07-07T20:43:53
00121686,연간x별도,combo_total,6.12,2026-07-07T20:43:59
00121686,분기x연결,combo_total,7.32,2026-07-07T20:44:06
00121686,분기x별도,combo_total,6.42,2026-07-07T20:44:13
00143226,연간x연결,combo_total,5.15,2026-07-07T20:44:25
00143226,연간x별도,combo_total,6.22,2026-07-07T20:44:31
00143226,분기x연결,combo_total,7.29,2026-07-07T20:44:39
00143226,분기x별도,combo_total,6.24,2026-07-07T20:44:45
00833064,연간x연결,combo_total,5.10,2026-07-07T20:44:57
00833064,연간x별도,combo_total,6.12,2026-07-07T20:45:03
00833064,분기x연결,combo_total,7.15,2026-07-07T20:45:11
00833064,분기x별도,combo_total,6.28,2026-07-07T20:45:17
00766106,연간x연결,combo_total,5.06,2026-07-07T20:45:29
00766106,연간x별도,combo_total,6.15,2026-07-07T20:45:35
00766106,분기x연결,combo_total,7.22,2026-07-07T20:45:43
00766106,분기x별도,combo_total,6.19,2026-07-07T20:45:49
00532129,연간x연결,combo_total,5.10,2026-07-07T20:46:01
00532129,연간x별도,combo_total,6.13,2026-07-07T20:46:07
00532129,분기x연결,combo_total,7.34,2026-07-07T20:46:15
00532129,분기x별도,combo_total,6.27,2026-07-07T20:46:21
00569646,연간x연결,combo_total,5.12,2026-07-07T20:46:33
00569646,연간x별도,combo_total,6.12,2026-07-07T20:46:39
00569646,분기x연결,combo_total,7.24,2026-07-07T20:46:47
