rcept_no,corp_code,statement,basis,classification,note
20191025000524,00125521,BS,separate,sanity_fail_prod_found_decl,재무상태표 제 51 기 2018.12.31 현재 제 50 기 2017.12.31 현재 제 49 기 2016.12.31 현재 (단위 : 원)
20191114001034,00109037,IS,separate,M2,
20210323000745,00980043,CF,separate,M2,
20211115002501,00384887,BS,consolidated,M2,
20220316001411,00113058,SCE,separate,M2,
20220316001424,00113058,SCE,separate,M2,
20220317001218,01113499,BS,separate,M2,
20230315001327,00113058,SCE,separate,M2,
20230317000589,01113499,BS,separate,M2,
20240813001608,01032486,BS,consolidated,sanity_fail_prod_found_decl,연결 재무상태표 제11기 반기말 2024년 6월 30일 현재 제10기 말 2023년 12월 31일 현재 (단위: 천원)
20240813001608,01032486,SCE,consolidated,sanity_fail_prod_found_decl,연결 재무상태표 제11기 반기말 2024년 6월 30일 현재 제10기 말 2023년 12월 31일 현재 (단위: 천원)
20240819000327,01032486,BS,consolidated,sanity_fail_prod_found_decl,연결 재무상태표 제11기 반기말 2024년 6월 30일 현재 제10기 말 2023년 12월 31일 현재 (단위: 천원)
20240819000327,01032486,SCE,consolidated,sanity_fail_prod_found_decl,연결 재무상태표 제11기 반기말 2024년 6월 30일 현재 제10기 말 2023년 12월 31일 현재 (단위: 천원)
20241112000311,01032486,BS,consolidated,sanity_fail_prod_found_decl,연결 재무상태표 제11기 3분기말 2024년 9월 30일 현재 제10기말 2023년 12월 31일 현재 (단위: 천원)
20241112000311,01032486,SCE,consolidated,sanity_fail_prod_found_decl,연결 재무상태표 제11기 3분기말 2024년 9월 30일 현재 제10기말 2023년 12월 31일 현재 (단위: 천원)
