corp_code,corp_name,fiscal_year,fiscal_period,basis,field,db_won,report_won,category,evidence_acode
01032486,두산밥캣,2024,FY,consolidated,total_equity,6894504000000,4690139000,UNRESOLVED,
01032486,두산밥캣,2024,FY,consolidated,controlling_equity,6894504000000,4690139000,UNRESOLVED,
01032486,두산밥캣,2024,FY,consolidated,retained_earnings,5614772000000,3819573000,UNRESOLVED,
01032486,두산밥캣,2024,FY,consolidated,trade_payables,1733398000000,1179182000,UNRESOLVED,
01032486,두산밥캣,2024,FY,consolidated,revenue,8551207000000,6269305000,UNRESOLVED,
01032486,두산밥캣,2024,FY,consolidated,cogs,6560047000000,-4809489000,UNRESOLVED,
01032486,두산밥캣,2024,FY,consolidated,gross_profit,1991160000000,1459816000,UNRESOLVED,
01032486,두산밥캣,2024,FY,consolidated,operating_income,871402000000,638867000,UNRESOLVED,
01032486,두산밥캣,2024,FY,consolidated,ebt,798440000000,585375000,UNRESOLVED,
01032486,두산밥캣,2024,FY,consolidated,tax_expense,235077000000,-172346000,UNRESOLVED,
