corp_code,corp_name,fiscal_year,fiscal_period,basis,field,db_won,report_won,category,evidence_acode
01315042,시선AI,2025,H1,consolidated,trade_payables,1426324177,1485456804,CONCEPT_GAP,ifrs-full_TradeAndOtherPayablesToTradeSuppliers
01315042,시선AI,2025,FY,consolidated,trade_payables,5051955392,2219860940,CONCEPT_GAP,ifrs-full_TradeAndOtherPayablesToTradeSuppliers
01493535,모비데이즈,2025,Q1,consolidated,controlling_ni,637597552,637561792,AXIS_EXCLUDED_UNMAPPED,ifrs-full_ProfitLoss
01493535,모비데이즈,2025,H1,consolidated,controlling_ni,2326745014,2325214725,AXIS_EXCLUDED_UNMAPPED,ifrs-full_ProfitLoss
01493535,모비데이즈,2025,Q3,consolidated,controlling_ni,3806658991,3811675539,AXIS_EXCLUDED_UNMAPPED,ifrs-full_ProfitLoss
01493535,모비데이즈,2024,FY,consolidated,controlling_ni,-2003813668,-1907533317,AXIS_EXCLUDED_UNMAPPED,ifrs-full_ProfitLoss
00136721,신영증권,2027,Q1,separate,revenue,168367822605,1606503086670,ADDITIVE_PAIR_CANDIDATE,
00136721,신영증권,2027,Q1,consolidated,revenue,184140032146,1621789277000,ADDITIVE_PAIR_CANDIDATE,
00136721,신영증권,2026,Q1,consolidated,revenue,126141702666,901669218521,ADDITIVE_PAIR_CANDIDATE,
00136721,신영증권,2026,H1,separate,revenue,181183973569,1311922425913,ADDITIVE_PAIR_CANDIDATE,
00136721,신영증권,2026,H1,consolidated,revenue,211110003923,1360128176113,ADDITIVE_PAIR_CANDIDATE,
00136721,신영증권,2026,FY,separate,revenue,326339356458,3029625333083,ADDITIVE_PAIR_CANDIDATE,
00138729,아세아제지,2025,FY,separate,dividends_paid,-10685473600,-10685985250,CONCEPT_GAP,ifrs-full_DividendsPaidOrdinaryShares
00138729,아세아제지,2025,FY,consolidated,dividends_paid,-10685473600,-10685985250,CONCEPT_GAP,ifrs-full_DividendsPaidOrdinaryShares
00120021,LG,2025,H1,consolidated,trade_payables,526651000000,445109000000,CONCEPT_GAP,ifrs-full_TradeAndOtherCurrentPayablesToTradeSuppliers
00305668,새론오토모티브,2026,H1,separate,revenue,0,55527665300,CONCEPT_GAP,ifrs-full_CurrentTaxAssets
00305668,새론오토모티브,2026,H1,consolidated,revenue,0,73695960222,CONCEPT_GAP,ifrs-full_CurrentTaxAssets
01344831,딥노이드,2025,Q1,separate,trade_payables,15000000,1039752942,CONCEPT_GAP,dart_LongTermTradeAndOtherNonCurrentPayables
01765256,동국씨엠,2025,H1,separate,trade_payables,227840989695,307655000000,CONCEPT_GAP,ifrs-full_TradeAndOtherCurrentPayablesToTradeSuppliers
01765256,동국씨엠,2025,Q3,consolidated,trade_payables,370187421635,517002000000,CONCEPT_GAP,ifrs-full_TradeAndOtherCurrentPayablesToTradeSuppliers
01765256,동국씨엠,2025,Q3,separate,trade_payables,238802505078,332198000000,CONCEPT_GAP,ifrs-full_TradeAndOtherCurrentPayablesToTradeSuppliers
01859500,아이엠바이오로직스,2026,H1,separate,revenue,14893519,7227421255,UNRESOLVED,
00349060,한스바이오메드,2025,Q3,separate,tax_expense,-220440,710707033,UNRESOLVED,
00349732,코나아이,2025,H1,separate,trade_payables,22575786110,10790590199,CONCEPT_GAP,ifrs-full_TradeAndOtherCurrentPayablesToTradeSuppliers
00349732,코나아이,2025,H1,consolidated,trade_payables,7379634608,12133428846,CONCEPT_GAP,ifrs-full_TradeAndOtherCurrentPayablesToTradeSuppliers
00373571,스타코링크,2025,FY,consolidated,inventory,3113575093,695916343,CONCEPT_GAP,ifrs-full_InventoriesTotal
00373571,스타코링크,2025,H1,consolidated,inventory,1882278476,317037880,CONCEPT_GAP,ifrs-full_InventoriesTotal
00373571,스타코링크,2025,Q1,consolidated,inventory,2053435564,349108498,CONCEPT_GAP,ifrs-full_InventoriesTotal
00373571,스타코링크,2025,Q3,consolidated,inventory,2481116527,951914208,CONCEPT_GAP,ifrs-full_InventoriesTotal
00373571,스타코링크,2024,FY,consolidated,inventory,2393188260,536830384,CONCEPT_GAP,ifrs-full_InventoriesTotal
00494546,오비고,2025,Q3,consolidated,trade_payables,1687598913,1997197550,CONCEPT_GAP,ifrs-full_TradeAndOtherPayablesToTradeSuppliers
00540429,휴림로봇,2025,Q3,separate,tax_expense,-165067629,40532403,UNRESOLVED,
00608699,탑코미디어,2024,FY,consolidated,trade_payables,1589931587,4083834256,UNRESOLVED,
00608699,탑코미디어,2024,FY,separate,trade_payables,1589931587,2700184709,UNRESOLVED,
00364254,알티캐스트,2025,H1,separate,tax_expense,18884983,8871587,UNRESOLVED,
00888347,휴젤,2026,Q1,separate,trade_payables,5649583447,5649583,CONCEPT_GAP,ifrs-full_TradeAndOtherCurrentPayablesToTradeSuppliers
00888347,휴젤,2025,FY,consolidated,trade_payables,5990795804,5990796,CONCEPT_GAP,ifrs-full_TradeAndOtherCurrentPayablesToTradeSuppliers
00888347,휴젤,2025,FY,separate,trade_payables,6485618239,6485618,CONCEPT_GAP,ifrs-full_TradeAndOtherCurrentPayablesToTradeSuppliers
00959229,세종메디칼,2025,Q3,consolidated,tax_expense,520607,218871197,UNRESOLVED,
01031502,코아시아씨엠,2026,Q1,consolidated,controlling_ni,1558911677,5921998731,UNRESOLVED,
01031502,코아시아씨엠,2025,FY,consolidated,controlling_ni,3232168635,860964250,UNRESOLVED,
01031502,코아시아씨엠,2025,H1,consolidated,controlling_ni,2128363622,-5055532382,UNRESOLVED,
00145668,이화공영,2025,H1,separate,tax_expense,-38504082,1898256,UNRESOLVED,
00126380,삼성전자,2025,Q1,consolidated,controlling_ni,9312323000000,8028407000000,CONCEPT_GAP,ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent
00127200,삼영전자공업,2025,H1,consolidated,controlling_ni,8573559909,9819586421,CONCEPT_GAP,ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent
00127200,삼영전자공업,2025,Q1,consolidated,controlling_ni,4587696506,4588082865,CONCEPT_GAP,ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent
01344831,딥노이드,2025,H1,separate,trade_payables,13757336,925470159,CONCEPT_GAP,dart_LongTermTradeAndOtherNonCurrentPayables
01335453,조이웍스앤코,2025,Q3,consolidated,tax_expense,-811369910,-536825327,UNRESOLVED,
01335453,조이웍스앤코,2025,Q3,separate,tax_expense,-811369910,-536825327,UNRESOLVED,
01526806,삼기에너지솔루션즈,2025,Q1,consolidated,tax_expense,94050926,0,UNRESOLVED,
00131054,유진증권,2025,Q1,consolidated,revenue,56073936028,402775368160,ADDITIVE_PAIR_CANDIDATE,
00131054,유진증권,2025,H1,separate,revenue,165062893171,699441299963,ADDITIVE_PAIR_CANDIDATE,
00131054,유진증권,2025,H1,consolidated,revenue,191044821069,849430129204,ADDITIVE_PAIR_CANDIDATE,
00131054,유진증권,2025,FY,separate,revenue,295010673463,1419851860959,ADDITIVE_PAIR_CANDIDATE,
00131054,유진증권,2025,FY,consolidated,revenue,369170975790,1694075188265,ADDITIVE_PAIR_CANDIDATE,
00131054,유진증권,2024,FY,separate,revenue,253958071805,1343275053857,ADDITIVE_PAIR_CANDIDATE,
00131054,유진증권,2024,FY,consolidated,revenue,309222247940,1652599784559,ADDITIVE_PAIR_CANDIDATE,
01344363,다원넥스뷰,2025,Q3,separate,tax_expense,-38686850,-81325534,UNRESOLVED,
01315042,시선AI,2024,FY,consolidated,trade_payables,579811787,1475054341,CONCEPT_GAP,ifrs-full_TradeAndOtherPayablesToTradeSuppliers
01412822,솔루스첨단소재,2025,H1,consolidated,trade_payables,52875673993,79806000000,CONCEPT_GAP,ifrs-full_TradeAndOtherCurrentPayablesToTradeSuppliers
01412822,솔루스첨단소재,2025,FY,separate,trade_payables,9283900865,34307000000,CONCEPT_GAP,ifrs-full_TradeAndOtherCurrentPayablesToTradeSuppliers
01412822,솔루스첨단소재,2025,FY,consolidated,trade_payables,81394420519,132020000000,CONCEPT_GAP,ifrs-full_TradeAndOtherCurrentPayablesToTradeSuppliers
01412822,솔루스첨단소재,2024,FY,separate,trade_payables,7720015876,21752000000,CONCEPT_GAP,ifrs-full_TradeAndOtherCurrentPayablesToTradeSuppliers
