20100209000003	00154718
20100211000331	00145686
20100212000144	00232089
20100212000236	00159731
20100216000100	00110893
20100216000149	00139685
20100413000082	00155373
20100503000467	00207375
20100506000350	00347716
20100510000483	00524421
20100510000697	00156910
20100511000660	00572905
20100512000806	00216498
20100513000389	00258360
20100513000539	00129642
20100513001069	00127936
20100513001366	00351807
20100513001626	00108490
20100513003238	00186939
20100514000034	00560122
20100514000121	00497631
20100514000232	00210856
20100514000316	00146560
20100514000465	00306719
20100514000727	00357607
20100514000815	00112651
20100514000986	00441304
20100514001063	00390860
20100514001200	00162911
20100514001337	00180263
20100514001457	00228350
20100514001509	00145914
20100514001559	00485177
20100514001596	00359395
20100514001748	00687711
20100514001785	00160375
20100514001846	00242934
20100514001897	00355089
20100514001961	00303396
20100514002129	00445841
20100514002224	00268251
20100514002299	00141389
20100514002344	00367455
20100514002422	00113410
20100514002572	00303192
20100514002661	00367604
20100514002727	00164830
20100514002759	00405719
20100514002849	00438036
20100514002895	00178790
20100514002943	00441447
20100514003119	00643656
20100514003168	00423177
20100514003222	00145437
20100514003244	00256380
20100514003284	00204226
20100514003327	00307028
20100514003360	00104999
20100514003414	00125743
20100514003530	00221728
20100514003738	00140566
20100514003811	00360674
20100514003865	00164812
20100514003949	00415594
20100514004016	00131197
20100514004227	00146861
20100517000082	00199988
20100517000167	00526678
20100517000224	00175623
20100517000288	00132637
20100517000403	00397191
20100517000425	00103015
20100517000456	00138242
20100517000485	00101044
20100517000520	00136776
20100517000539	00101752
20100517000602	00119195
20100517000642	00260958
20100517000663	00171636
20100517000688	00177816
20100517000757	00139889
20100517000773	00156442
20100517000796	00540641
20100517000816	00486370
20100517000896	00585538
20100517000920	00361008
20100517000944	00162461
20100517000966	00143651
20100517000981	00249502
20100517001002	00152127
20100517001018	00109718
20100517001094	00153126
20100517001115	00130383
20100517001145	00102432
20100517001164	00156956
20100517001186	00238782
20100517001197	00124799
20100517001212	00487546
20100517001228	00145880
20100517001256	00137207
20100517001284	00120562
20100517001332	00351092
20100517001397	00326731
20100517001426	00126308
20100517001455	00120030
20100517001480	00370255
20100517001519	00149026
20100517001551	00243067
20100517001631	00252135
20100517001660	00158501
20100517001692	00138792
20100519000019	00490151
20100526000032	00147772
20100623000222	00186452
20100729000008	00400060
20100805000213	00163345
20100809000071	00706715
20100810000169	00602136
20100811000019	00340272
20100811000205	00134565
20100812000006	00366942
20100812000054	00197759
20100812000120	00131896
20100812000166	00442905
20100812000237	00527491
20100812000353	00156488
20100813000003	00206659
20100813000029	00129642
20100813000098	00154055
20100813000124	00407285
20100813000140	00115676
20100813000155	00599957
20100813000173	00149354
20100813000187	00141477
20100813000212	00120289
20100813000262	00260392
20100813000300	00129679
20100813000310	00663669
20100813000330	00295547
20100813000367	00127954
20100813000468	00142883
20100813000505	00109754
20100813000555	00405320
20100813000569	00108135
20100813000581	00218575
20100813000598	00148610
20100813000608	00117577
20100813000637	00145163
20100813000682	00694942
20100813000700	00156150
20100813000725	00249441
20100813000750	00101220
20100813000775	00173351
20100813000811	00606664
20100813000830	00126788
20100813000874	00106313
20100813000941	00105040
20100813000986	00454946
20100813001025	00142713
20100813001044	00492894
20100813001064	00532059
20100813001088	00428251
20100813001112	00110884
20100813001160	00117276
20100816000008	00355089
20100816000050	00143907
20100816000074	00153375
20100816000090	00456218
20100816000107	00148948
20100816000120	00129271
20100816000136	00531014
20100816000158	00409672
20100816000176	00154718
20100816000213	00139719
20100816000224	00135050
20100816000246	00228059
20100816000295	00253985
20100816000311	00125150
20100816000337	00156442
20100816000349	00172291
20100816000412	00177816
20100816000435	00238153
20100816000451	00145862
20100816000487	00329093
20100816000499	00125743
20100816000533	00144818
20100816000562	00427483
20100816000575	00125530
20100816000622	00336297
20100816000643	00135917
